Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SRR8204553	8759436	7286162	83.18072076786679	7283545	83.15084441509704
SRR8204570	7157130	5827094	81.41662929135003	5822537	81.35295851828876
SRR8204576	8640922	7148275	82.72583643273252	7121562	82.4166911817975
SRR8204584	10875631	9200225	84.5948616682563	9195469	84.55113087231445
SRR8204590	10767883	8662505	80.44761444751953	8660840	80.43215179808324
