Sample	input_raw_reads	fastp	bowtie
SAMEA1964895	31168729	26144553	26144094
SAMEA2041923	29581668	23862229	23861841
SAMEA2041924	27078241	19567575	19567057
SAMEA2041927	31591296	24457284	24456878
SAMEA2041928	25848448	20273230	20273110
SAMEA2041930	27796110	21360685	21360386
SAMEA2041931	56731898	44095188	44092753
SAMEA2041932	29136292	22732876	22732392
SAMEA2041933	27613839	22803069	22802569
SAMEA2041934	24466819	20903564	20903338
SAMEA2041935	28563768	23742675	23742556
SAMEA2041936	26396396	22327408	22326732
SAMEA2041937	26284872	21633352	21633225
SAMEA2041938	28902733	23273403	23273142
SAMEA2041939	30716562	25239851	25239623
SAMEA2042000	28274022	24090923	24090323
SAMEA2042001	26499314	19368566	19366965
SAMEA2042002	27698053	20751469	20750718
SAMEA2042003	26545683	20118927	20118205
SAMEA2042004	27120108	21023938	21021339
SAMEA2042005	27601066	21603903	21603692
SAMEA2042006	27533938	20684418	20684265
SAMEA2042007	25694400	19507658	19507553
SAMEA2042009	26542915	20151255	20151151
