Sample	input_raw_reads	fastp	bowtie
BEB01	26991532	25626828	25614882
BEB02	23516778	22439770	22253782
BEB03	27935935	26618846	26618608
BEB04	23923604	22685081	22671817
BEB05	28672928	27522669	27511323
BEB10	23558694	22278028	22277271
BEB11	25506833	24118267	24108321
BEB13	20332525	19509922	19504108
BEB15	22287783	21386033	21377010
BEB16	23062905	22194263	22128514
BEB18	17350928	16653789	16598908
BEB19	23897879	23001309	22859357
BEB21	23845892	22820834	22716183
BEB22	23378815	22349751	22236946
BEB23	23537954	22646933	22631817
BEB25	16416447	15749234	15700231
BEB27	22324883	21087339	21086434
BEB28	22773642	21764439	21650534
BEB29	23539860	22250282	22248336
BEB30	24220053	22851973	22850870
BEB31	23985104	22897467	22830124
BEB32	27034774	25660889	25653668
BEB33	22957204	21615858	21375874
BEB34	21067605	20014634	20012988
BEN02	29273562	27938213	27928445
BEN04	27352253	26102643	26053144
BEN05	27387756	26247258	26180304
BEN07	23279149	22334425	22332254
BEN08	28500876	27418809	27416737
BEN09	27037106	25883718	25822002
BEN10	26208752	25149867	25146555
BEN11	26589484	25561200	25558199
BEN12	28249702	27187719	27186815
BEN13	26008293	25033699	24924305
BEN14	26894452	25446833	25443252
BEN16	27173476	25720166	25715996
BEN17	27969972	26561499	26519967
BEN18	27900491	26521917	26520636
BEN19	24277729	23008367	23003502
BEN20	26290052	24860965	24536889
BEN21	28025629	26441512	26423492
BEN22	25886521	24583044	24337727
BEN23	27197672	25792650	25653244
BEN24	25257422	23861847	23831413
BEN26	20783151	19885330	19878611
BEN27	23926993	22929240	22924154
BEN28	23987203	22969514	22655223
BEN29	25940531	24973040	24971493
BEN30	24281761	23368544	23341559
BEN31	21677272	20799407	20798107
BEN32	23814026	22927915	22923437
BEN33	25672785	24582780	24579973
BEN34	23353928	22208295	22195698
BEN35	30046702	28954263	28950444
BEN36	26084683	25082867	25078140
BEN37	8957446	8430641	8429855
BEN38	24697341	23769541	23736024
BEN39	25346798	24270550	24040426
BEN40	26896365	25671117	25339865
BEN41	23907964	22957521	22948428
BEN42	22343395	21538722	21538160
BEN43	26469263	25409075	25403475
BEN44	25759818	24764276	24763149
BEN45	24095373	23094174	23085315
BEN46	26289828	25273487	25234238
BEN47	23738087	22800891	22749334
BEN49	21767277	20827968	20792911
BEN50	21506470	20752958	20730996
BEN51	21308721	20563177	20559095
BEN52	23369473	22530902	22528486
BEN53	19664010	18953201	18951609
BEN54	21590562	20878105	20872316
BEN55	20914369	20068220	20048394
BEN56	13763085	13196797	13143566
BEN57	20112321	19280739	19240385
BEN58	18448212	17598549	17472681
BEN60	24234506	23276225	23261044
BEN61	22422202	21527750	21506585
BEN62	19125873	18243893	18121140
BEN63	21772496	20807864	20806550
BEN64	21949976	20964847	20964206
BEN65	20656762	19723750	19689261
BEN66	18956619	18182090	18063369
BEN69	22097067	21209881	21207335
BEN70	17520368	16805068	16804370
BEN71	20702384	19870917	19869712
BEN72	19936391	18841083	18782691
BEN73	23291470	22268020	22155943
BEN74	25608905	24540131	24538232
BEN75	20929611	20162442	20131067
BEN76	20189157	19383166	19374235
BEN77	22916294	21998718	21883515
BEN78	21577936	20682682	20675820
BEN80	21131801	20243801	20239999
BEN81	23060711	22124521	22110035
BEN82	22598489	21714046	21709560
BEY01	26088227	24872738	24835205
BEY02	25923297	24623001	24622050
BEY03	26415036	25164738	25164453
BEY04	28094501	26598932	26572542
BEY05	25848593	24711159	24669358
BEY06	26534521	25499220	25276226
BEY07	27177494	25867898	25854547
BEY08	24722913	23742707	23741371
BEY09	22838785	21822376	21807001
BEY10	21861358	20738929	20738281
BEY11	25634513	24532230	24531712
BEY12	27993500	26637983	26637748
BEY13	20073531	19367593	19365213
BEY14	21464285	20662477	20660807
BEY15	24656809	23809222	23808908
BEY16	20995615	20161183	20151528
BEY17	25166343	24277428	24261194
BEY18	22560299	21767823	21693658
BEY19	22236587	21247737	21239881
BEY20	22090563	21079352	20962874
BEY21	23994760	22910822	22831606
BEY22	23289890	22221422	22213274
BEY23	25409986	24290755	24001277
BEY24	20066727	19167812	19147444
BEY25	22223067	21332600	21308280
BEY26	22399855	21295659	21291306
BEY27	23065476	22066275	22065858
BEY28	23238897	22077564	22027339
BEY29	22799336	21752166	21741991
BEY30	21151410	19820292	19818123
BEY31	20919194	20020259	20015544
BEY32	23500822	22515486	22500776
