Sample	input_raw_reads	fastp	bowtie
SRR5127392	22094031	17717274	17716421
SRR5127393	19708291	12861218	12860902
SRR5127394	20336754	16370363	16369744
SRR5127395	17620008	13568091	13567954
SRR5127396	11896444	7136947	7136806
SRR5127397	19272320	14890134	14888544
SRR5127398	9329347	6090522	6090389
SRR5127399	10621787	8287680	8287241
SRR5127400	12447770	9598118	9597316
SRR5127401	13371265	9886579	9886552
SRR5127402	16915278	11150782	11150502
SRR5127403	14457023	8342600	8342186
SRR5127404	11276268	8644864	8644630
SRR5127405	14696361	11568228	11567328
SRR5127406	14838499	11732677	11732014
SRR5127407	14705498	9441164	9440643
SRR5127408	11325186	7355076	7354804
SRR5127409	12144417	7527026	7526970
SRR5127410	13864823	11495653	11495503
SRR5127411	14093164	10996020	10991459
SRR5127412	15836215	12127874	12126779
SRR5127413	13724666	10394276	10393502
SRR5127414	17230812	12711848	12701428
SRR5127415	14446839	11250119	11249860
SRR5127416	12370869	9384952	9383171
SRR5127417	16565459	12471924	12471764
SRR5127418	15314164	11767799	11764175
SRR5127419	15470425	10114665	10114523
SRR5127420	19591174	15314961	15314463
SRR5127421	13698680	10908679	10907973
SRR5127422	29970764	23799277	23797236
SRR5127423	13803991	10945899	10945786
SRR5127424	14186180	11261000	11260911
SRR5127425	11702929	7131617	7131377
SRR5127426	13518770	10392961	10392559
SRR5127427	12446456	8079680	8078956
SRR5127428	15735919	12328247	12328120
SRR5127429	15731575	12173292	12173222
SRR5127430	10858623	7146435	7146335
SRR5127431	12190726	9658301	9658241
SRR5127432	13651008	10543539	10543303
SRR5127433	12673483	9640779	9640097
SRR5127434	10524271	7994706	7994545
SRR5127435	23610511	13926282	13918541
SRR5127436	11331253	7374204	7372467
SRR5127437	22988121	13703974	13703332
SRR5127438	12761482	8755228	8755129
SRR5127439	17714816	13878193	13729811
SRR5127440	11056595	7219719	7219497
SRR5127441	16626371	12470356	12470239
SRR5127442	12212223	9494487	9491756
SRR5127443	16653681	12601199	12600810
SRR5127444	14746183	11331755	11330981
SRR5127445	13594791	10565745	10565574
SRR5127446	15537692	12244569	12238788
SRR5127447	12475616	7338831	7338508
