Sample	input_raw_reads	fastp	bowtie
ERR260147	13969150	10142512	10135371
ERR260153	13917531	10951979	10935596
ERR260163	15933285	8771412	8769332
ERR260170	15149519	8253317	8250440
ERR260171	28856602	25298824	25285167
ERR260175	15849917	13931222	13810552
ERR260180	15971316	12980949	12979333
ERR260193	13971868	11521513	11519563
ERR260204	13213300	10930119	10926988
ERR260205	14999378	9724737	9723818
ERR260209	12460015	10316603	10314513
ERR260215	7653274	6393301	6392676
ERR260216	4849280	3953533	3951887
ERR260217	8413357	7101486	7100515
ERR260218	6919590	5848426	5833600
ERR260221	7653823	6283632	6281743
ERR260223	6267937	5086919	5086174
ERR260224	13689474	11384978	11379209
ERR260225	9310011	7595935	7594656
ERR260226	13649613	10982562	10981396
ERR260227	10970243	9102116	9088374
ERR260230	9883620	7720338	7717433
ERR260231	10392457	7967254	7963700
ERR260234	12290046	9230459	8295820
ERR260242	7929514	6738744	6729503
ERR260243	11371398	9727542	9726002
ERR260244	9602014	8061158	8059093
ERR260246	12325479	10649872	9421576
ERR260250	16372748	13403780	12505413
ERR260251	12391800	10350138	10348894
ERR260252	14759413	11917506	11916308
ERR260253	12277317	10104446	10093411
ERR260255	9900293	8335361	8331338
ERR260256	14922510	11331834	11323570
ERR260258	11827877	9860918	9860242
ERR260259	19451938	14140504	14139915
ERR260260	19181630	13880742	13877770
ERR260263	22588195	16334020	16331420
ERR260264	24518042	17712586	17709998
ERR260265	22021962	15989209	15971952
ERR260266	19437678	14309853	14304218
ERR260267	20191326	14504095	14501456
ERR260268	4155208	2385648	2378136
