Sample	input_raw_reads	fastp	bowtie
SRR15343398	6097964	5608787	5606306
SRR15343405	5740012	5304773	5304493
SRR15343408	5859588	5389021	5389000
SRR15343409	6858453	6398161	6398141
SRR15343410	6832098	6345438	6345365
SRR15343411	6896118	6388044	6387738
SRR15343412	7261833	6696162	6696026
SRR15343413	3932877	3614428	3614414
SRR15343414	5680953	5249644	5249615
SRR15343415	6522938	5997781	5997653
SRR15343416	6097065	5732314	5731868
SRR15343417	5937089	5512501	5512459
SRR15343418	5577814	5259211	5259185
SRR15343419	6352913	5964740	5963537
SRR15343420	6051542	5632695	5632524
SRR15343421	5946876	5600498	5600444
SRR15343422	5795540	5446147	5445835
SRR15343423	6110354	5733104	5732805
SRR15343424	5943366	5550436	5550387
SRR15343425	5967629	5607342	5607304
SRR15343426	5483872	5103710	5103680
SRR15343427	6236065	5821984	5821946
SRR15343428	5973979	5627071	5626954
SRR15343429	6177915	5796138	5796085
SRR15343430	6144096	5756847	5756656
SRR15343431	5653799	5330696	5330570
SRR15343432	5889299	5545233	5545217
SRR15343433	5764865	5437555	5437502
SRR15343434	6271178	5858091	5858007
SRR15343435	6055298	5683651	5683634
SRR15343436	6786892	6386112	6386048
SRR15343437	5788326	5353093	5353044
SRR15343438	6386955	5991886	5991857
SRR15343439	6356978	5974151	5974113
SRR15343440	6091636	5709744	5709714
SRR15343441	5879423	5501820	5501812
SRR15343442	6053872	5701917	5701894
SRR15343443	6636349	6273770	6273628
SRR15343444	6250972	5868662	5866065
SRR15343445	5650187	5310424	5310257
SRR15343446	6917972	6540533	6540179
SRR15343447	5954027	5636801	5636795
SRR15343448	5638133	5213543	5213516
SRR15343459	6595993	6118949	6118943
SRR15343470	5635783	5210908	5210819
SRR15343481	5356239	4983845	4983539
SRR15343492	2522215	2284716	2284679
SRR15343503	3798249	3501558	3501530
SRR15343512	6703810	6248246	6248134
SRR15343523	2342886	2162231	2162223
SRR15343534	4936002	4559444	4559435
SRR15343545	4216140	3869029	3869024
SRR15343554	4171786	3865737	3865392
SRR15343555	5652615	5224431	5224389
SRR15343558	3931100	3621476	3621476
SRR15343569	4026977	3727648	3727611
SRR15343570	4324274	3982191	3982160
SRR15343571	3728661	3432952	3432686
SRR15343572	6450422	5940414	5940349
SRR15343573	5952161	5502401	5501285
