Sample	input_raw_reads	fastp	bowtie
SRR5898908	5327757	4432247	4430468
SRR5898909	3085552	2572578	2569876
SRR5898910	8759551	7092734	7079798
SRR5898911	5135983	4330500	3696764
SRR5898912	4052739	3405384	3402619
SRR5898913	5137490	4284298	4283847
SRR5898914	6275464	5264934	5260740
SRR5898915	7065921	5938601	5933594
SRR5898916	5966065	5018979	5015037
SRR5898917	5301366	4560547	4556334
SRR5898918	2715208	2290801	2262950
SRR5898919	3401237	2964431	2962915
SRR5898920	4635661	3878406	3877916
SRR5898921	6489812	5447768	5447261
SRR5898922	6572595	5448382	5446409
SRR5898923	8466086	6875647	6875144
SRR5898924	6177888	5148481	5147280
SRR5898925	5092908	4279273	4278781
SRR5898926	2976229	2492832	2492649
SRR5898927	3257390	2824779	2824033
SRR5898928	2722752	2295946	2293102
SRR5898929	3510167	2881555	2831802
SRR5898930	4407879	3791804	3788779
SRR5898931	3129026	2555498	2453077
SRR5898932	6439227	5301387	5282232
SRR5898933	3021698	2606505	2559831
SRR5898934	4264527	3521573	3514405
SRR5898935	4612811	3776779	3688444
SRR5898936	3176530	2585642	2574901
SRR5898937	5525192	4515664	4512492
SRR5898938	4722840	3886190	3438419
SRR5898939	4755885	3944886	3937496
SRR5898940	3746717	3097503	3097012
SRR5898941	5415917	4553141	4548036
SRR5898942	5075856	4189639	4188704
SRR5898943	3168885	2592571	2591699
SRR5898944	4852758	4055916	4052500
SRR5898945	3984549	3342073	3224069
SRR5898946	5500739	4715035	4714519
SRR5898947	5298840	4487478	4487195
SRR5898948	3688177	3136683	3136168
SRR5898949	4945396	4309901	4283264
SRR5898950	2358961	1961955	1946570
SRR5898951	3799622	3268305	3266927
SRR5898952	2877527	2495452	2492364
SRR5898953	5949657	5178721	5177683
SRR5898954	2623761	2244839	2242661
SRR5898955	3422843	2952025	2951230
SRR5898956	6194300	5097911	5094373
SRR5898957	3932652	3413435	3411767
SRR5898958	4760294	4161169	4158744
SRR5898959	2411209	2024788	2024688
SRR5898960	3812459	3146014	3145477
SRR5898961	6230116	5308579	5307244
SRR5898962	3387844	2900698	2900264
SRR5898963	3689014	3190555	3190366
SRR5898964	3637856	3140966	3140915
SRR5898965	3961443	3440552	3421253
SRR5898966	3677879	3099864	3099638
SRR5898967	4911510	4306585	4305767
SRR5898968	3221798	2728316	2728101
SRR5898969	5482332	4657563	4657138
SRR5898970	3953595	3249794	3225259
SRR5898971	5173150	4442764	4438622
SRR5898972	6216249	5188408	5187869
SRR5898973	3745782	3184057	3183782
SRR5898974	4280619	3583238	3582365
SRR5898976	4366008	3694846	3692279
SRR5898977	7192358	6157548	6156929
SRR5898978	5552421	4780726	4780488
SRR5898979	5498126	4696163	4696079
SRR5898980	2817611	2365028	2363321
SRR5898981	3355264	2904220	2903771
SRR5898982	2760663	2382378	2381945
SRR5898983	4825692	4210875	4210660
SRR5898984	3676295	3076133	3075551
SRR5898985	5071197	4396817	4370570
SRR5898986	4621466	3938067	3938034
SRR5898987	3352289	2891019	2882543
SRR5898988	5054915	4373646	4372588
SRR5898989	3872683	3342461	3337604
SRR5898990	7774333	6559121	6557595
SRR5898991	3867895	3355864	3346014
SRR5898992	3798982	3274599	3274531
SRR5898993	3259188	2787436	2787135
SRR5898994	4522927	3940261	3938522
SRR5898995	2413085	2068538	2068280
SRR5898996	3091962	2639290	2638951
SRR5898997	6702847	5751318	5743486
SRR5898998	4555676	3849686	3757753
SRR5899000	4312759	3662302	3659782
SRR5899001	3374683	2870911	2869982
SRR5899004	7584975	6392497	6391987
SRR5899005	4638439	3829944	3824489
SRR5899006	6721091	5599286	5585940
SRR5899007	4475736	3746825	3745999
SRR5899008	2648300	2243018	2242621
SRR5899009	2924935	2471960	2471835
SRR5899010	3007048	2612178	2611891
SRR5899011	3559849	3102906	3100087
SRR5899012	3807183	3283377	3283142
SRR5899013	4005867	3479801	3474038
SRR5899014	3531470	2963440	2962504
SRR5899015	3173926	2623182	2622092
SRR5899016	5077882	4412817	4411427
SRR5899017	2125747	1710015	1697099
