Sample	input_raw_reads	fastp	bowtie
ERR7671874	33228873	30833732	30833522
ERR7671875	34870083	32417926	32416096
ERR7671876	40486176	37417457	37417232
ERR7671877	33258606	30794954	30792233
ERR7671878	35324675	32882805	32878620
ERR7671879	38504285	35384015	35383842
ERR7671880	33060554	30396571	30396475
ERR7671881	34401783	31370510	31369918
ERR7671882	26654333	24803298	24800288
ERR7671883	37073096	34096351	34095943
ERR7671884	39249362	36595887	36595426
ERR7671885	45371840	42022116	42006544
ERR7671886	36606784	32584292	32584210
ERR7671887	37692991	35090049	35089695
ERR7671888	39894397	36986609	36986201
ERR7671889	9318362	8417029	8416450
ERR7671890	37908313	35259230	35259162
ERR7671891	27880416	25892564	25891983
ERR7671892	31260354	28940237	28940033
ERR7671893	35448858	32055945	32054885
ERR7671894	36176619	33334410	33333878
ERR7671895	38089455	35183684	35183150
ERR7671896	34203995	31919110	31918795
ERR7671897	37824591	34740285	34738635
ERR7671898	37091872	34040871	34040490
ERR7671899	9479300	8467017	8466831
ERR7671900	36258104	33723333	33721937
ERR7671901	39312785	36114831	36111020
ERR7671902	47165417	44245537	44243448
ERR7671903	9098156	8235878	8235836
ERR7671904	34527453	31934689	31933326
ERR7671905	39155686	35697778	35487480
ERR7671906	39529028	35202349	35200678
ERR7671907	31899760	28913388	28907752
ERR7671908	26934563	24522746	24512301
ERR7671909	25325532	23481995	23481305
ERR7671910	43897431	41221251	41219041
ERR7671911	40289318	37254933	36405917
ERR7671912	34714441	32327936	32326290
ERR7671913	37469456	34493576	34489761
ERR7671914	45693665	42331410	42331267
ERR7671915	34836614	32691802	32690609
ERR7671916	35683614	33457674	33456691
ERR7671917	35082183	32444903	32433521
ERR7671918	36204580	33461567	33441284
ERR7671919	36822968	33973664	33973298
ERR7671920	40136248	37202323	37201600
ERR7671921	43791771	40517379	40516754
ERR7671922	39200271	36335971	36327230
ERR7671923	38756270	35967414	35963310
ERR7671924	84410752	78647182	78645795
ERR7671925	34174620	31473166	31472207
ERR7671926	37046862	32985025	32963054
ERR7671927	45123447	42084718	42083920
ERR7671928	32579503	29860150	29854888
ERR7671929	39946579	37185644	37184748
ERR7671930	45003879	42151932	42150111
ERR7671931	37225361	34665075	34570454
ERR7671932	37976450	34762529	34761414
ERR7671933	36817307	34000676	33999243
ERR7671934	32210412	29495328	29493790
ERR7671935	23166067	21044830	21044733
ERR7671936	34406436	31743111	31742904
ERR7671937	29292538	26531706	26530901
ERR7671938	37947108	35077691	35050656
ERR7671939	31851176	29712541	29708178
ERR7671940	37157850	34229381	34229182
ERR7671941	39340103	36218956	36218355
ERR7671942	32091856	29800540	29781043
ERR7671943	39864750	37630440	37629440
ERR7671944	40402643	37755577	37720118
ERR7671945	36367592	33973331	33973114
ERR7671946	33000403	29017802	29016790
ERR7671947	29680386	27253769	27253538
ERR7671948	36109519	32355893	32347795
ERR7671949	48937028	45453105	45452673
ERR7671950	24271644	21758210	21757861
ERR7671951	38451052	36055367	36052996
ERR7671952	37184252	34735199	34734977
ERR7671953	44974824	41300737	41298927
ERR7671954	50839730	47433402	47432583
ERR7671955	30552707	28079754	28079457
ERR7671956	36821313	34360118	34359322
ERR7671957	37116616	34007243	34006934
ERR7671958	42248148	39381667	39380736
ERR7671959	34993389	32335232	32333805
ERR7671960	41895739	38808509	38803490
ERR7671961	26647758	25028750	25025553
ERR7671962	11734474	10623270	10623139
ERR7671963	32537608	29779869	29779706
ERR7671964	32576076	29190526	29183075
ERR7671965	41369401	38246665	38246353
ERR7671966	11018738	9865996	9865861
ERR7671967	9453739	8520042	8519987
ERR7671968	31183469	27795072	27789511
ERR7671969	35889277	33625718	33623609
ERR7671970	41422350	38264595	38242528
ERR7671971	40222535	37241326	37241047
ERR7671972	43061274	38472834	38472190
ERR7671973	41099291	37958316	37958076
ERR7671974	36751201	34121354	34120825
ERR7671975	35001979	32125796	32112316
ERR7671976	40181986	37498575	37492395
ERR7671977	38571919	35843978	35843533
ERR7671978	38764969	35886691	35886337
ERR7671979	97167389	85691210	85690480
ERR7671980	44171031	40484759	40482653
ERR7671981	39707923	36896298	36895543
ERR7671982	37374885	34940315	34929322
