Sample	input_raw_reads	fastp	bowtie
SRR8803176	12351692	11171509	11171507
SRR8803177	18796912	17730566	17730564
SRR8803178	14763755	13406586	13406579
SRR8803179	40643981	39082325	39082324
SRR8803180	19208054	17847029	17847029
SRR8803181	14991874	13759744	13759743
SRR8803182	19248702	17610795	17610793
SRR8803183	9302810	8478630	8478630
SRR8803184	17548063	16024145	16024145
SRR8803185	21543833	20206631	20206611
SRR8803186	22505879	21147802	21147798
SRR8803187	17333203	16295887	16295784
SRR8803188	15190586	14394872	14394766
SRR8803189	28577568	27442413	27442299
SRR8803190	17112122	15823160	15823106
SRR8803191	26203566	24753349	24753348
SRR8803192	26103981	24295368	24295363
SRR8803193	38361038	36395916	36395914
SRR8803194	21038147	19606409	19606407
SRR8803195	20422519	19294566	19294557
SRR8803196	16629493	15719466	15719462
SRR8803197	24207040	22426230	22426229
SRR8803198	23860225	22048436	22048432
SRR8803199	34822106	32429845	32429834
SRR8803200	22123340	21241921	21241312
SRR8803201	23036428	21699233	21699206
SRR8803202	32371344	30767613	30767611
SRR8803203	25441276	23505794	23505788
SRR8803204	20632476	19278104	19278099
SRR8803205	25680410	24240524	24240446
SRR8803206	14170763	12973872	12973871
SRR8803207	27148311	25354436	25354436
SRR8803208	29139859	27821334	27821334
SRR8803209	33443441	31387939	31387901
SRR8803210	32749975	30892531	30892530
SRR8803211	19178057	18382852	18382840
SRR8803212	24393818	22967521	22967116
SRR8803213	29621571	28373773	28373771
SRR8803214	34643736	32913358	32913347
SRR8803215	17931613	16920389	16920389
SRR8803216	18969401	17929407	17929407
SRR8803217	17567101	16246489	16246424
SRR8803218	26127531	24617679	24617672
SRR8803219	30204256	28570582	28570563
SRR8803220	11549695	10607537	10607537
SRR8803221	18038108	16575595	16575595
SRR8803222	25915686	24685304	24685301
SRR8803223	26653495	25200445	25200434
SRR8803224	24451506	23003796	23003788
SRR8803225	24397438	22607083	22607060
SRR8803226	24502678	23148427	23148424
SRR8803227	31491151	29446338	29446335
SRR8803228	49090657	46806525	46806521
SRR8803229	21288445	20009263	20009262
SRR8803230	41389695	39426726	39426614
SRR8803233	29804435	28449569	28449566
SRR8803234	19535921	18618905	18618894
SRR8803235	30772962	29391883	29391871
SRR8803236	32939717	30961567	30961564
SRR8803237	32688580	31029833	31029833
SRR8803238	4433420	4273439	4273437
SRR8803239	15358159	14325368	14325357
SRR8803240	21671617	20405525	20405525
SRR8803241	22618887	20877954	20877952
SRR8803242	31078214	29534213	29534171
SRR8803243	21944885	21257133	21257130
