Sample	input_raw_reads	fastp	bowtie
SRR6897667	10363504	9537479	9533517
SRR6897668	13834808	12955555	12951760
SRR6897669	9262230	8494008	8492747
SRR6897670	5828493	5415223	5415070
SRR6897671	8924743	8234931	8234206
SRR6897672	8843381	8151932	8151459
SRR6897673	11846809	10983281	10982381
SRR6897674	11268641	10450943	10438324
SRR6897675	9567687	8854281	8853816
SRR6897676	10278706	9498779	9498079
SRR6897688	13714863	12858398	12855610
SRR6897697	7179552	6609620	6608748
SRR6897698	6186248	5767482	5766355
SRR6897699	7815304	7227870	7227139
SRR6897700	8544099	7901580	7899695
SRR6897701	7412898	6823945	6823010
