Sample	input_raw_reads	fastp	bowtie
SRR11070334	21018239	19876336	19868354
SRR11070335	16527612	15514844	15477730
SRR11070336	21261923	20132878	20119311
SRR11070338	19276785	18345506	18341848
SRR11070342	19600773	18524443	18524062
SRR11070343	19501482	18436591	18434799
SRR11070344	16774621	15988274	15987152
SRR11070346	24450289	23182956	23110739
SRR11070347	13457951	12827020	12824480
SRR11070348	26114317	24792966	24690996
SRR11070355	20264297	19308773	19308250
SRR11070357	21769672	20724662	20716701
SRR11070358	18798250	17726779	17725562
SRR11070365	28013546	26647793	26644886
SRR11070366	25462713	24235269	24212708
SRR11070368	31938064	30206003	30199088
SRR11070369	22221156	21064235	21042756
SRR11070372	14206977	13389542	13386423
SRR11070373	13180415	12307748	12307349
SRR11070374	20636757	19559139	19558492
SRR11070375	25442951	24108639	24106641
SRR11070396	22625102	21500113	21499129
SRR11070397	17928161	16904554	16904247
SRR11070398	23236982	21948431	21947716
SRR11070399	23694348	22430927	22429416
SRR11070400	25340193	24124956	24104255
SRR11070401	10122818	9658101	9657830
SRR11070402	20045620	18889218	18888553
SRR11070407	17473331	16530521	16529706
SRR11070408	21354691	20215256	20213528
SRR11070409	20077059	19022420	18989713
SRR11070410	21749632	20631947	20631041
SRR11070411	20874384	19811692	19811210
SRR11070412	24193513	22978203	22977217
SRR11070413	27818077	26421991	26421324
SRR11070414	17004074	16111401	16110844
SRR11070415	22353492	21105365	21101495
SRR11070416	21674389	20504189	20501159
SRR11070417	20969849	19844662	19843622
SRR11070418	20742196	19640967	19637714
SRR11070419	12040430	11341651	11338170
SRR11070420	26866574	25619777	25617325
SRR11070421	28008641	26643308	26642773
SRR11070422	27831420	26390055	26388899
SRR11070426	16388634	15464783	15463454
SRR11070427	24796585	23514754	23489418
SRR11070428	20014057	19025205	19018409
SRR11070429	22836074	21657810	21650804
SRR13773777	18071948	17344105	17344045
SRR13773779	30570093	29279406	29273509
SRR13773782	24411568	23667189	23663604
SRR13773785	28187816	27408612	27405355
SRR13773786	33523814	32367242	32355818
SRR13773787	26296199	25396239	25395913
SRR13773788	31817030	30778803	30778642
SRR13773792	28389777	27646683	27637759
SRR13773793	27873282	26700185	26699936
SRR13773794	27080589	26248346	26247680
SRR13773795	33876901	32659575	32658261
SRR13773799	30154376	29083899	29081521
SRR13773802	31462684	30401235	30395521
SRR13773805	25378743	24524042	24523637
SRR13773806	32677125	31511173	31506701
SRR13773807	30103619	29332225	29331722
SRR13773810	29142140	27800815	27750866
SRR13773814	27702959	26954498	26952733
