Sample	input_raw_reads	fastp	bowtie
SRR7658579	38082008	35115691	35115622
SRR7658580	39445596	37109894	37109884
SRR7658581	36154979	34575619	34575592
SRR7658582	38157342	36378818	36378543
SRR7658583	38319560	36605997	36605985
SRR7658584	38276338	36907968	36907953
SRR7658585	34048045	32773490	32773480
SRR7658586	33856520	31222920	31222914
SRR7658587	34896873	33151288	33151280
SRR7658588	35161137	32380553	32380547
SRR7658589	12737252	12336591	12336581
SRR7658590	11467136	10392080	10392074
SRR7658591	12946384	12187858	12187854
SRR7658592	12784385	12008255	12008246
SRR7658593	13256681	12874601	12874600
SRR7658594	13016533	12294488	12294476
SRR7658595	14775993	13985610	13985581
SRR7658596	14101961	13435099	13435084
SRR7658597	15395237	14433950	14433949
SRR7658598	15470471	14694440	14694419
SRR7658599	9133343	8801546	8801517
SRR7658600	9175227	8836238	8836235
SRR7658601	8360663	7685562	7685560
SRR7658602	8774535	8445374	8445348
SRR7658603	10597809	10058497	10058487
SRR7658604	10811947	9434225	9434184
SRR7658605	9651754	9188778	9188778
SRR7658606	10031255	9645792	9645773
SRR7658607	11263694	10757091	10757090
SRR7658608	11575153	10968610	10968398
SRR7658609	1472825	1356527	1354577
SRR7658610	341234	321952	321952
SRR7658611	2663703	2564381	2564377
SRR7658612	2580289	2416977	2416973
SRR7658613	3125525	2854328	2854305
SRR7658614	2906797	2750722	2750713
SRR7658615	4514534	4278571	4278440
SRR7658616	3877780	3675986	3675986
SRR7658617	5156257	4975656	4975655
SRR7658618	4542632	4350870	4350869
SRR7658619	23369695	22482329	22482325
SRR7658620	22787000	21972872	21972863
SRR7658621	22068781	20696939	20696934
SRR7658622	21559856	20396834	20396828
SRR7658623	21128122	20045630	20045628
SRR7658624	20571555	19900242	19900229
SRR7658625	19580296	18482432	18482431
SRR7658626	19318367	18623310	18623304
SRR7658627	25300934	24316544	24316519
SRR7658628	24896740	23611524	23611524
SRR7658629	15681772	15035689	15035686
SRR7658630	15826184	14989634	14989633
SRR7658631	16700319	16103681	16103675
SRR7658632	17034367	16067362	16067334
SRR7658633	17745245	16878184	16878089
SRR7658634	17889615	16795520	16795518
SRR7658635	18353882	17395371	17395365
SRR7658636	18473587	17548649	17548645
SRR7658637	18649073	17815226	17815200
SRR7658638	18989444	17649478	17649478
SRR7658639	61290785	57570425	57570420
SRR7658640	72727356	68151360	68151353
SRR7658641	54147939	50888789	50888759
SRR7658642	55168550	52623905	52623740
SRR7658643	52664631	49762959	49762950
SRR7658644	53058612	50943341	50943327
SRR7658645	57990337	53135963	53135938
SRR7658646	61281559	58528544	58528539
SRR7658647	58282264	54493712	54493690
SRR7658648	58217835	55695296	55695230
SRR7658649	33699741	31500065	31500057
SRR7658650	33591222	31212025	31212014
SRR7658651	33153828	31707397	31707395
SRR7658652	32613986	30770055	30770023
SRR7658653	33419984	30923195	30923193
SRR7658654	33289904	31407520	31407491
SRR7658655	29365758	28186495	28186488
SRR7658656	28643600	26706117	26705503
SRR7658657	30279454	29169146	29169140
SRR7658658	30050475	28376583	28376559
SRR7658659	42761169	40651875	40651864
SRR7658660	41574542	38798624	38798618
SRR7658661	41383488	39040272	39040265
SRR7658662	40986264	37682260	37682254
SRR7658663	45128161	42480572	42480538
SRR7658664	44524791	42266917	42266916
SRR7658665	43312828	41681801	41665299
SRR7658666	42794437	39378179	39378147
SRR7658667	109469931	102303982	102303979
SRR7658668	82422289	78032126	78032042
SRR7658669	48839507	45707976	45707129
SRR7658670	46480089	44643078	44643072
SRR7658671	28582987	27259072	27259067
SRR7658672	28735787	27523245	27523152
SRR7658673	28159068	26897836	26897818
SRR7658674	28501196	27004279	27004206
SRR7658675	26837874	24701648	24701623
SRR7658676	27195367	25752253	25752243
SRR7658677	26066649	24740405	24740011
SRR7658678	26210830	24805525	24805506
SRR7658679	25663654	24321173	24321166
SRR7658680	25925089	25133803	25133732
SRR7658681	7883819	7463674	7463672
SRR7658682	7936966	7733405	7733382
SRR7658683	6698513	6526682	6526681
SRR7658684	6440820	6227790	6227788
SRR7658685	6078482	5794912	5794910
SRR7658686	5407774	5214619	5214617
SRR7658687	7852838	7522851	7522849
SRR7658688	7712934	7398948	7398945
SRR7658689	7537920	7183474	7183467
SRR7658690	7420680	7156133	7156133
