Sample	input_raw_reads	fastp	bowtie
SRR13348569	26079928	24694719	24667761
SRR13348570	25850345	24393917	24390824
SRR13348571	22748500	21239094	21223436
SRR13348572	16099919	15272202	15271041
SRR13348573	15161219	14446068	14444443
SRR13348574	19102885	18107321	18098435
SRR13348575	11155117	10849231	10847211
SRR13348576	17723603	16278217	16255436
SRR13348577	16413590	15711790	15702241
SRR13348578	12862476	11917633	11899257
SRR13348579	32955569	31470271	31468624
SRR13348580	18346788	17269882	15835434
SRR13348581	22245431	21272253	21237759
SRR13348582	18556018	17606452	17468622
SRR13348583	20262476	19140340	19139958
SRR13348584	17963377	17094699	17086104
SRR13348585	20380675	19514675	19511503
SRR13348586	15640189	14625482	14550923
SRR13348587	16312404	15307791	15294766
SRR13348588	14253898	13524193	13513627
SRR13348589	16716514	16035155	16025252
SRR13348590	13888780	12964768	12959305
SRR13348591	12794410	11704463	11675524
SRR13348592	23708824	22390159	22388097
SRR13348593	21513101	20198203	20194875
SRR13348594	21587632	20099447	20048840
SRR13348595	18628065	17437261	17432639
SRR13348596	18694478	17764688	17703882
SRR13348597	19032324	18023573	17990066
SRR13348598	20281586	19134541	19087781
SRR13348599	17146907	16231158	16223471
SRR13348600	11996537	11345206	11344522
SRR13348601	13873234	12799246	12787261
SRR13348602	19998441	18808443	18770018
SRR13348603	19154108	18135938	18117738
SRR13348604	13347753	12395304	12393114
SRR13348605	14791947	13555827	13550669
SRR13348606	17088038	16303406	16293801
SRR13348607	7530295	7185344	7181594
SRR13348608	21923371	20193884	20151054
SRR13348609	21421739	20469615	20458479
SRR13348610	16349792	15446203	15444941
SRR13348611	14436187	13498769	13492573
SRR13348612	18528670	16685089	16601491
SRR13348613	19759772	18300984	18281572
SRR13348614	21307667	19976480	19962366
SRR13348615	15234465	14346195	14239369
SRR13348616	23773810	22592595	22590399
SRR13348617	14041153	13153210	13146728
SRR13348618	12920752	12358223	12357326
SRR13348619	20201441	19138005	19120282
SRR13348620	18661263	17356038	17354640
SRR13348621	16796544	15882953	15882192
SRR13348622	15885341	15014368	14941056
SRR13348623	17064489	15614855	15584386
SRR13348624	12065001	11249488	11248608
SRR13348625	14207662	13180195	13179266
SRR13348626	17198934	16377322	16376221
SRR13348627	14038249	12751694	12745115
SRR13348628	19414760	18259883	18251688
SRR13348629	13509424	12285617	12283622
SRR13348630	19371641	18632210	18628430
SRR13348631	15078327	14019590	13951815
SRR13348632	17137716	15997473	15996351
