Sample	input_raw_reads	fastp	bowtie
HD-10	20581232	10661999	10659490
HD-11	23926332	12530092	12529350
HD-12	21250407	11066671	11056992
HD-13	20805385	11350922	11185778
HD-14	26414469	10980774	10977560
HD-15	41726028	22542216	22523792
HD-16	24181512	13755304	13705737
HD-17	21319521	10965091	10964138
HD-18	19153477	10339417	10168208
HD-19	26561710	15582376	15581310
HD-1	15181542	9659290	9658435
HD-20	28243174	12152966	11800350
HD-21	25811737	12445066	12441427
HD-22	23431461	10677865	10666041
HD-23	26092385	16565111	16550664
HD-24	17249594	5793046	5671527
HD-25	18464418	9013111	9010769
HD-26	19648331	8617000	8614202
HD-27	25154285	10651539	10632693
HD-28	39645279	16793779	16784738
HD-29	54432955	29366496	29303304
HD-2	14670034	9258979	9257610
HD-30	38637263	20953322	20949453
HD-31	47363178	26071039	26067909
HD-32	22539814	9692784	9692023
HD-33	40571199	17345732	17330650
HD-34	17962151	7732361	7729818
HD-35	26178445	13755753	13693817
HD-36	15369409	9131848	9131153
HD-37	27593867	12230565	10787034
HD-38	12665510	5768871	5767166
HD-39	19579561	11199894	11164693
HD-3	19123128	6963626	6871657
HD-40	35725137	19726075	19723257
HD-41	21795520	12371135	12369030
HD-42	20989441	11810937	11809609
HD-43	25486993	14898824	14896041
HD-44	16982057	10193266	9678837
HD-45	19815963	12085689	12084492
HD-46	14830387	8650649	8643715
HD-47	21528205	13015992	13006609
HD-48	26705542	14806871	14799838
HD-49	32580356	21158293	21138043
HD-4	25814995	11319802	11316525
HD-50	32517296	19742850	19735518
HD-51	19275547	10461747	10460542
HD-52	55435936	32270470	32214851
HD-53	36367015	21246119	21225662
HD-54	19672485	8521558	8515819
HD-55	47601972	16826693	16748643
HD-56	14073407	8388482	8371294
HD-57	15093977	6877595	6872375
HD-58	25709614	15667594	14344086
HD-59	24847756	9791356	9422704
HD-5	15829129	8301322	8300463
HD-60	46932767	28224767	28215482
HD-61	19762653	12555457	12553572
HD-62	27806743	16776778	16775708
HD-63	22619179	13298201	13283343
HD-64	15680877	8366664	8342797
HD-65	30597676	13644986	13639741
HD-66	22257705	9888521	9882683
HD-67	26199668	10953618	10950840
HD-68	26045647	11263960	11258930
HD-69	24929119	9866553	9863921
HD-6	35724891	17989653	17980408
HD-70	18043810	7030659	7028071
HD-71	24701355	11417239	11413188
HD-72	23176995	7604395	7602380
HD-73	17852061	7497572	7417333
HD-74	26103209	10468057	10466480
HD-75	39747759	17789435	17783263
HD-76	16221828	5684879	5682157
HD-77	21520113	9237058	9231752
HD-78	17432551	5597659	5597079
HD-79	31118225	13677627	13672439
HD-7	27389267	14597592	14594780
HD-80	18294564	7222789	7222135
HD-81	24095872	9790927	9776841
HD-82	17827900	6355179	6258178
HD-83	23794687	9292927	9289105
HD-8	49074174	25015143	24952069
HD-9	35292286	17687296	17679230
HV10	9355215	5295421	5284238
HV11	10081746	5312441	5312202
HV12	13941930	7351848	7351027
HV13	11093076	6331820	6331049
HV14	9921784	5881257	5867845
HV15	12212056	6524571	6505151
HV16	10335978	6010942	6010422
HV17	11378127	6300537	6299839
HV18	8097715	4420637	4409997
HV19	7946705	4416128	4413828
HV1	8490157	4815792	4814844
HV20	8748825	3936080	3935595
HV21	8976047	5588072	5586741
HV22	9837146	4651057	4636562
HV23	9755393	6095347	6094722
HV24	7607767	4877895	4876309
HV25	11526322	4200041	4199070
HV26	13839413	5174571	5173596
HV27	10161357	3375855	3334802
HV28	9382181	2965291	2964575
HV29	13816385	5143292	5138623
HV2	8643983	4160025	4157754
HV30	11102001	5083247	5058727
HV31	13486867	5220126	5219518
HV3	12360563	8106349	8054350
HV4	10481592	4470528	4469299
HV5	8186548	5131883	5131731
HV6	11365679	7022351	7020694
HV7	11720238	7382638	7381929
HV8	7793259	4340401	4333316
HV9	14604873	6443881	6437317
