Sample	input_raw_reads	fastp	bowtie
SRR6028314	16121459	11813444	11811956
SRR6028315	6943087	5016113	5014749
SRR6028316	10011681	7082004	7073856
SRR6028317	4047430	2448460	2445844
SRR6028318	7520241	5398022	5397335
SRR6028319	12022183	9133149	9132336
SRR6028320	10956359	8248324	8246166
SRR6028321	8670028	6420800	6418918
SRR6028322	13325355	9870267	9867727
SRR6028323	10886745	8190216	8183541
SRR6028324	17086046	13039966	13039774
SRR6028325	11317216	8267507	8267037
SRR6028326	9772505	7179578	7178867
SRR6028327	15230237	9535809	9531626
SRR6028328	137390	29588	29492
SRR6028329	15744433	10987647	10986034
SRR6028330	13977324	10056316	10053675
SRR6028331	9467549	6507799	6507137
SRR6028332	9819522	7171174	7170840
SRR6028333	10156275	6971026	6970007
SRR6028334	10944927	7684125	7682027
SRR6028335	4587532	2598415	2597828
SRR6028336	14855096	11001971	11001185
SRR6028337	9788877	6269519	6268520
SRR6028338	9011564	6804549	6803857
SRR6028339	10657537	8051746	8051218
SRR6028340	12197274	9078617	9077517
SRR6028341	983982	764740	764525
SRR6028342	12385435	8002354	8001768
SRR6028343	10697535	8269495	8268136
SRR6028344	297703	213299	213238
SRR6028345	14294786	10386427	10385039
SRR6028346	15440961	10935056	10934933
SRR6028347	8947934	6322332	6319227
SRR6028348	9821613	7130718	7120927
SRR6028349	13642301	10504984	10499028
SRR6028350	1004205	611462	572314
SRR6028351	9147503	6378503	6377850
SRR6028352	12498272	8081733	7366051
SRR6028353	13772241	9022129	9017386
SRR6028354	18981954	13553715	13553112
SRR6028355	290693	158599	158339
SRR6028356	10965896	8320505	8320118
SRR6028357	5455667	3897524	3897028
SRR6028358	14660865	10513920	10496129
SRR6028359	14143732	9486445	9480297
SRR6028360	7401243	5368892	5367003
SRR6028361	15214334	11007254	10994753
SRR6028362	6167664	4095231	4094650
SRR6028363	10577654	7842510	7840555
SRR6028364	3641252	2251389	2250859
SRR6028365	9090970	6633319	6589763
SRR6028366	16126836	10332878	10331738
SRR6028367	16163208	12350873	12347453
SRR6028368	10291701	6745090	6741511
SRR6028369	11974407	7912391	7911290
SRR6028370	12750310	8443988	8441781
SRR6028371	8546431	5949400	5948776
SRR6028372	3858209	2528354	2527992
SRR6028373	17042505	11961684	11960863
SRR6028374	17675800	11993174	11989950
SRR6028375	14642615	10050801	10048558
SRR6028376	14900846	11161571	11158930
SRR6028377	23404787	16038905	16037275
SRR6028378	9754723	6423328	6410355
SRR6028379	7790572	5500652	5498495
SRR6028380	3368004	1929963	1929387
SRR6028381	7663030	4724626	4724092
SRR6028382	9574237	6603471	6603333
SRR6028383	10450529	7216902	7216693
SRR6028384	10940934	7746109	7745877
SRR6028385	14431699	10444319	10443463
SRR6028386	9578269	7206004	7205389
SRR6028387	9350700	6284969	6284787
SRR6028388	14379167	9320647	9319863
SRR6028389	8920485	6591064	6590490
SRR6028390	12502889	8479170	7431798
SRR6028391	15865448	11779550	11767650
SRR6028392	6872761	4495853	4495733
SRR6028393	10096599	7107159	3190046
SRR6028394	10069963	7653553	7653085
SRR6028395	19576982	14572903	14569947
SRR6028396	5307896	3507000	1601558
SRR6028397	6738919	4446058	4444540
SRR6028398	11085361	8554227	8554055
SRR6028399	12368946	8917486	8916781
SRR6028400	9847797	7307782	7307439
SRR6028401	10819439	7910464	7908729
SRR6028402	14947062	10830277	10829929
SRR6028403	8676434	6471466	6470581
SRR6028404	15559630	10979677	10978783
SRR6028405	9117700	6164752	6163940
SRR6028406	11811668	8072520	8071532
SRR6028407	12401394	9028220	9027918
SRR6028408	12491085	9673349	9672642
SRR6028409	10173633	7150553	7150319
SRR6028410	8670122	6196571	6196122
SRR6028411	18904626	12515287	12512971
SRR6028412	11191185	8253868	8253431
SRR6028413	9945758	6935373	6935180
SRR6028414	12305848	8833968	8832545
SRR6028415	4978096	2870825	2870499
SRR6028416	8207867	5510184	5509343
SRR6028417	222609	106623	106498
SRR6028418	2103286	1456035	1455877
SRR6028419	14386503	9530423	9529721
SRR6028420	13944993	10681059	10680609
SRR6028421	11662822	8215806	8211715
SRR6028422	11208701	8374313	8373409
SRR6028423	10859865	7673540	7673244
SRR6028424	7053915	4806680	4805912
SRR6028425	16214889	11600911	11598814
SRR6028426	11659254	9056631	9056328
SRR6028427	14179559	9885424	9885165
SRR6028428	7631760	5144902	5144352
SRR6028429	13265634	8606991	8596586
SRR6028430	378041	243811	243423
SRR6028431	13541642	10462957	10462559
SRR6028432	13988688	10655576	10613452
SRR6028433	9421383	6772513	6771000
SRR6028434	6048319	4214135	4212550
SRR6028435	3718834	2809800	2809628
SRR6028436	9952719	6789742	6789227
SRR6028437	10799554	7210542	7206437
SRR6028438	13186103	9689370	9687933
SRR6028439	7584016	5891173	5890695
SRR6028440	2344782	1565610	1565486
SRR6028441	289398	194704	194675
SRR6028442	6507821	4562252	4557392
SRR6028443	12398605	8507271	8502916
SRR6028444	12465179	9549798	9549232
SRR6028445	1926227	1403801	1403647
SRR6028446	9786313	6062465	6061899
SRR6028447	20366642	14606858	14606359
SRR6028448	14767339	9574522	9571894
SRR6028449	9021468	6773533	6773399
SRR6028450	9125066	5975883	5975539
SRR6028451	14715960	9960852	9960473
SRR6028452	14236699	10598221	10593015
SRR6028453	11546715	8024418	8024307
SRR6028454	14188562	10065221	10058319
SRR6028455	10493159	7753531	7753343
SRR6028456	10677364	8408982	8408732
SRR6028457	15060376	10621842	10605450
SRR6028458	12392993	8643165	8639762
SRR6028459	10678305	8233167	8232683
SRR6028460	7763039	5528988	5516748
SRR6028461	8998039	6423228	6417141
SRR6028462	11143361	7453756	7453332
SRR6028463	1694239	966355	966158
SRR6028464	8080116	6172010	6171174
SRR6028465	14170847	10508607	10507852
SRR6028466	12972920	9752504	9748461
SRR6028467	11387199	8133850	8133228
SRR6028468	10163501	6812546	6811886
SRR6028469	2525159	1731133	1730788
SRR6028470	7557860	4991329	4990844
SRR6028471	4569441	2792622	2751456
SRR6028472	16428009	11993410	11981192
SRR6028473	11417650	7737933	7736785
SRR6028474	12554466	8834554	8833750
SRR6028475	7004436	4977817	4967635
SRR6028476	13348770	9726703	9720362
SRR6028477	8993664	6101108	6100719
SRR6028478	8365471	6381681	6381122
SRR6028479	13774515	9304547	9304158
SRR6028480	10121996	7402269	7401864
SRR6028481	6499866	4711658	4710878
SRR6028482	11391768	7970352	7968458
SRR6028483	17034350	12451969	12450915
SRR6028484	10640196	7468984	7468555
SRR6028485	7016790	5449361	5449268
SRR6028486	16803458	12163512	12163137
SRR6028487	9578677	6286170	6285588
SRR6028488	17406328	13002615	12992699
SRR6028489	12105293	9088207	9087681
SRR6028490	23121756	15043290	15041392
SRR6028491	15729719	11043294	11042181
SRR6028492	8756613	5774289	5773392
SRR6028493	15043677	11079348	11078690
SRR6028494	7441833	4948054	4943395
SRR6028495	30400525	21653622	21595400
SRR6028496	14009452	10659670	10659189
SRR6028497	5618223	4189542	4187015
SRR6028498	7096737	5166896	5163686
SRR6028499	9517211	5909242	5908092
SRR6028500	11344607	7842106	7839731
SRR6028501	9814598	7008226	7007610
SRR6028502	11331768	8389626	8387031
SRR6028503	13087739	9134174	9133252
SRR6028504	19143992	14336600	14336004
SRR6028505	14663861	10528425	10523722
SRR6028506	9726430	6657336	6656355
SRR6028507	10633500	7820949	7820399
SRR6028508	11907655	8491169	8490102
SRR6028509	11342403	7297749	7297550
SRR6028510	8143062	6327310	6326159
SRR6028511	10974022	7789854	7789334
SRR6028512	7562835	4983638	4971413
SRR6028513	12607860	9148781	9148597
SRR6028514	11232224	7452354	7450946
SRR6028515	10210216	7725096	7716754
SRR6028516	12719333	9090522	9089820
SRR6028517	11581357	8766334	8765525
SRR6028518	10911936	7709726	7708168
SRR6028519	9289977	6857027	6856294
SRR6028520	10720881	8179125	8170987
SRR6028521	13156552	9383348	9382668
SRR6028522	10919373	8094303	8092016
SRR6028523	11308308	7855991	7842372
