Sample	input_raw_reads	fastp	bowtie
SRS048164	44449145	42845421	42845407
SRS048870	46699271	45401895	45401886
SRS048981	23974210	21326823	21326802
SRS049402	39973149	35400313	35399977
SRS049446	28043121	26583016	26582985
SRS049712	59440255	56240545	56240358
SRS049773	36287897	34494599	34494540
SRS049896	93829602	79575205	79575102
SRS049900	67387087	42155733	42153106
SRS049959	53853814	52041297	52041282
SRS049995	61929053	58213583	58213574
SRS050026	43680043	38616025	38616017
SRS050299	34599992	32860178	32859950
SRS050520	4840544	4396071	4396050
SRS050752	48627618	43623328	43623290
SRS050801	4764602	4344750	4344748
SRS050925	46995718	45954053	45953979
SRS050941	24087456	23019097	23019057
SRS050974	3987859	3428039	3427841
SRS050998	12441666	11818580	11818556
SRS051031	55112996	53834725	53834671
SRS051610	21249360	19137190	19137134
SRS051882	49471387	42903056	42902979
SRS052027	57051966	55532808	55532747
SRS052078	23005454	20510286	20510182
SRS052576	5217020	4771437	4771362
SRS052697	43661492	42669097	42668978
SRS053087	4745975	4300666	4300666
SRS053335	55411294	53675794	53675416
SRS053356	34685435	30223117	30223025
SRS053398	49720886	47236434	47236402
SRS053573	39956927	35847475	35847461
SRS053649	45292291	40538105	40538091
SRS054059	5407977	4912682	4912681
SRS054352	46030122	40997079	40997053
SRS054590	43016703	40676991	40676876
SRS054905	21982039	20622078	20622023
SRS054956	46031612	43964001	43963978
SRS055017	31012187	29143953	29143935
SRS055533	50126524	45239007	45238949
SRS055966	31463866	28907335	28907229
SRS055982	52830622	47227161	47227149
SRS056259	53398256	50353039	50353031
SRS056273	50302119	44269911	44269891
SRS056519	62495851	52413673	52413655
SRS057049	35314	21203	21196
SRS057478	37368798	21227796	21224966
SRS057480	5500359	4971268	4971266
SRS057717	48570833	36301852	36301808
SRS058070	46772371	41352554	41352109
SRS058145	4486407	4098960	4098960
SRS058723	55828003	52047849	52047795
SRS058770	60825750	59350082	59350077
SRS062654	28859677	27429492	27429349
SRS062701	24103323	21299054	21299048
SRS063040	56721468	26710784	26710782
SRS063127	17960081	16313471	16312833
SRS063190	23632565	20574287	20574284
SRS063370	32248855	30123861	30123732
SRS063489	32536474	29084760	29084755
SRS063518	92490663	76559708	76559493
SRS063813	5417849	4928457	4928420
SRS063928	5783441	5273675	5273672
SRS063985	47633751	46263350	46263344
SRS064232	21253795	19875888	19875819
SRS064276	43579625	42925702	42925637
SRS064557	56876854	46971206	46971192
SRS064757	24879783	23349429	23349382
SRS064973	43718561	39659278	39659258
SRS065176	26264746	21729779	21728902
SRS065397	15728036	15272012	15271982
SRS065504	58367485	56237627	56237559
SRS074586	4163868	3747701	3747698
SRS074670	44747869	40643372	40643357
SRS074964	52362372	47163462	47163415
SRS075021	24949396	22242328	22242274
SRS075078	45467766	40255971	40255894
SRS075341	36702069	32605888	32605775
SRS075398	50826002	49333801	49333025
SRS075716	20978031	19465898	19465827
SRS075773	34561416	31882462	31882442
SRS075821	26939566	25493960	25493815
SRS075878	41433017	38167148	38167126
SRS075963	3313848	1948907	1948530
SRS075984	41296969	37823914	37823850
SRS076756	34343144	31749652	31749612
SRS076804	21762838	20782923	20782881
SRS076876	24525295	22789968	22789862
SRS076929	57120036	50905307	50904255
SRS076976	22122022	20538309	20538139
SRS077024	19905865	18774833	18774756
SRS077117	40516915	36254410	36252863
SRS077127	39070798	36186333	36186307
SRS077194	87037545	77767490	77767026
SRS077231	27845408	25611227	25611218
SRS077294	26550874	22756710	22756171
SRS077364	41832678	37471563	37471012
SRS077392	35534580	32514377	32514297
SRS077454	25711132	20812276	20811000
SRS077502	32633776	29873012	29872965
SRS077552	105763175	91084271	91083823
SRS077589	22770652	21059082	21059071
SRS077641	38881686	36173821	36173752
SRS077753	76790297	64095304	64095158
SRS077849	41619167	37126328	37126308
SRS077991	4768439	4393018	4393018
SRS078176	52808574	48524808	48524789
SRS078242	45285029	40137441	40137429
SRS078419	52357579	46695048	46695029
SRS078665	50581719	45516751	45516731
SRS097889	94941914	82438413	82437338
SRS097920	35383101	32793739	32793717
SRS097958	46901046	43547115	43547034
SRS098061	26835585	20961111	20961104
SRS098073	20440561	19609901	19609800
SRS098514	99712495	87058358	87058165
SRS098571	86111132	74935269	74934091
SRS098644	83291400	72968167	72967565
SRS098655	20453087	17116137	17116097
SRS098717	52108843	47027400	47027362
SRS098827	62608265	52588328	52585782
SRS098881	76886380	65228075	65217775
SRS100021	46036848	40806840	40806151
SRS100907	5065691	4551332	4551322
SRS101268	4590718	4263614	4263611
SRS101376	38783376	34201251	34201228
SRS101433	28006036	24958190	24958183
SRS103987	116716792	97871363	97870463
SRS104036	19887863	18808844	18808766
SRS104084	27602093	26042877	26042817
SRS1041031	15999756	14381555	14381491
SRS1041032	11590039	10040829	10040753
SRS1041033	14350843	12513651	12513563
SRS1041036	19734050	18208210	18208017
SRS1041037	15433613	14141741	14141642
SRS1041038	11920950	10756087	10751433
SRS1041039	22135501	20011482	20011393
SRS1041090	13390907	12027051	12027047
SRS1041091	13966280	12481635	12481466
SRS1041095	20927255	19104285	19103751
SRS1041118	21773992	19862288	19861491
SRS1041130	18719623	17085518	17084858
SRS1041132	17256136	15580600	15580542
SRS1041133	14496478	12802461	12794520
SRS1041134	20212142	18268295	18268190
SRS1041136	22741463	20682237	20677599
SRS1041137	23949627	20992655	20992638
SRS1041138	17472937	15666307	15666294
SRS1041139	16069541	14803957	14803719
SRS1041140	11779735	10650648	10649503
SRS1041141	12644480	11190732	11190728
SRS1041142	20718794	19169254	19169132
SRS1041143	15461547	14246675	14246617
SRS1041144	20957799	19379137	19378361
SRS1041145	22425246	20300429	20299555
SRS1041146	18033637	16332749	16332647
SRS1041147	20297449	18432429	18432382
SRS1041164	28790231	24917223	24916569
SRS104197	93421260	81888691	81888180
SRS104311	77722020	58638777	58637634
SRS104327	25042133	24103431	24103394
SRS104400	90524889	76022698	76022173
SRS104485	96513661	87371226	87370699
SRS104636	36361573	34121119	34121049
SRS104693	23356148	21717689	21717646
SRS104912	28302607	26478344	26478324
SRS104975	28192689	26984404	26984368
SRS105082	45462075	33189065	33180525
SRS105153	97077426	86286683	86286180
SRS1054691	17547383	15356645	15355540
SRS1054716	16145109	14612087	14611765
SRS1054928	28722080	24781607	24778837
SRS1055022	37488984	34110852	34110229
SRS1055034	13279159	11896528	11895535
SRS1055038	22540434	21108402	21108238
SRS1055043	24095763	20761584	20725545
SRS1055049	20062677	17643263	17620478
SRS1055056	12205600	11105708	11105621
SRS1055067	22530221	20425662	20421474
SRS1055069	24333351	20526783	20525777
SRS1055076	19769589	16885322	16799729
SRS1055083	21975357	18659184	18658487
SRS1055095	5056030	4535956	4535903
SRS1055099	17772313	15913238	15912772
SRS140492	57080828	50001471	50001019
SRS140513	41136371	30712422	30712142
SRS140645	45736677	21645692	21645444
SRS142503	90051419	79065755	79064809
SRS142542	41380816	37981672	37981586
SRS142599	34952936	28409756	28409683
SRS142712	48806143	45888414	45888321
SRS142781	99710095	82605621	82595679
SRS142921	47727274	44838781	44838705
SRS142923	20020178	18978952	18978925
SRS142980	20458486	19300546	19300506
SRS143070	36657902	34779066	34779018
SRS143085	26160123	25329508	25329466
SRS143148	30742583	28316306	28316294
SRS143181	43850042	39746462	39746227
SRS143342	66268363	54875335	54872294
SRS143372	29944291	22626446	22626409
SRS143417	60744903	54608481	54608278
SRS143466	32807508	30432017	30431949
SRS143523	35233615	32448055	32447805
SRS143598	90802407	79806878	79806438
SRS143722	26946973	25328405	25328374
SRS143780	106746354	84094151	84093580
SRS143876	112287524	96478930	96478500
SRS143895	38499868	34589654	34589425
SRS143991	38285918	33402217	33402151
SRS144135	26329982	25011051	25011009
SRS144183	24356587	20267399	20266216
SRS144297	33951844	32951810	32951793
SRS144362	91490969	77433414	77432772
SRS144393	41190	13307	13295
SRS144506	44038093	40569963	40569693
SRS144537	37262195	30422228	30422194
SRS144603	20912778	19784362	19784296
SRS144714	32802162	31768288	31768265
SRS144753	5363249	4843443	4843426
SRS145308	21604019	19202141	19202135
SRS145497	45557454	40769175	40769113
SRS146764	50189671	46832186	46831929
SRS146812	61418976	53619533	53618727
SRS146813	30745680	25035158	25035106
SRS146888	29290203	26439378	26438193
SRS147022	97633812	79652634	79652086
SRS147039	25683054	6840165	6840132
SRS147088	8998960	4579717	4579563
SRS147139	97155092	75560899	75560274
SRS147271	84277054	75969429	75969032
SRS147272	21764082	20584810	20584766
SRS147346	91624442	68902892	68901908
SRS147377	40068866	35999216	35998912
SRS147425	30093350	28862419	28862340
SRS147557	23785793	21869729	21869707
SRS147652	78627289	73056264	73056144
SRS147653	24990815	23272977	23272911
SRS147766	131485676	109772226	109766547
SRS147919	85486708	78034480	78033397
SRS147977	32882274	31631529	31631461
SRS148091	31968928	30612097	30611870
SRS148159	61145408	54108907	54104309
SRS148196	44029828	33309367	33307047
SRS148253	25142639	24346243	24346151
SRS148319	20772578	19428139	19427790
SRS148424	39041555	35957432	35957315
SRS148511	36247030	33188854	33188694
SRS148721	54989810	46146050	46145741
SRS148784	29281006	27045010	27044992
SRS148817	22271955	18633707	18633666
SRS148874	36993966	35193838	35193736
SRS148970	22269459	21058074	21057958
SRS149075	22881153	19256049	19256007
SRS149181	30111620	27775511	27775431
SRS149244	34174629	31734737	31733925
SRS149325	20258881	19224634	19224472
SRS149784	24941584	23052364	23052219
SRS149879	26160714	24488944	24488907
SRS150029	20020394	18782055	18781984
SRS892882	7560403	6680186	6677125
SRS893170	22084628	20325613	20325451
SRS893172	11843941	10518698	10518621
SRS893187	13695740	12256027	12255700
SRS893230	13727244	12929683	12929651
SRS893231	16178551	15037064	15036811
SRS893252	29375759	25357071	25357043
SRS893253	22588475	19157600	19156746
SRS893256	18861967	16102959	16097455
SRS893259	18332555	16350598	16349818
SRS893270	15021678	13012967	13012692
SRS893279	17688341	15368482	15368177
SRS893285	15581134	13458676	13456145
SRS893288	24332402	21530323	21529681
SRS893292	19335776	16388241	16387635
SRS893295	15303766	13105180	13103671
SRS893300	18965625	15828346	15827863
SRS893327	19426409	16153079	16146184
SRS893341	27407529	24345958	24344544
SRS893342	17961386	16545282	16544875
SRS893358	12562712	11102007	11101740
SRS893366	15644777	13909854	13909629
SRS893369	13861188	12583190	12582727
SRS893373	28631328	25067808	25066082
SRS893378	29072992	26114383	26113416
SRS893380	24454174	21508120	21507082
SRS893382	23008171	20434654	20434241
SRS893383	34561079	29339005	29335857
SRS971275	50477516	43712842	43712482
SRS971276	54364698	48496972	48496667
