Sample	input_raw_reads	fastp	fastp(%)[reference: raw reads]	bowtie	bowtie(%)[reference: raw reads]
SAMEA4031709	10450963	8310785	79.5217148888576	8306042	79.47633151126838
SAMEA4031710	10160886	8106044	79.77694071166628	8103170	79.74865577667144
SAMEA4031711	3641698	3235388	88.84284199293846	3234775	88.82600918582484
SAMEA4031712	9467868	7614499	80.42464259113034	7611868	80.39685386403782
SAMEA4031714	9659118	7739668	80.12810279365051	7736963	80.1000981663129
SAMEA4031715	9566434	7544943	78.86891813605781	7532959	78.74364679670607
SAMEA4031716	3465540	3113928	89.85404871968005	3113164	89.83200309331302
SAMEA4031717	3168636	2797819	88.29726734153118	2797440	88.28530635895066
SAMEA4031718	8626200	6762360	78.39326702371844	6758489	78.34839210776472
