Sample	input_raw_reads	fastp	bowtie
SRR8180446	35238113	33988587	33971927
SRR8180447	30135204	27617203	27496629
SRR8180448	39263818	37070526	37023177
SRR8180449	36380609	34861240	34817062
SRR8180450	44936343	42235981	42219394
SRR8784353	26728773	25317197	25293842
SRR8784356	22965842	22269211	22260448
SRR8784358	22702426	21895384	21880929
SRR8784360	29278452	27179464	27176317
SRR8784362	25743851	24755287	24750665
SRR8784364	21529593	20722090	20709920
SRR8784365	18861147	17712303	17680396
SRR8784368	20288739	19272286	19268629
SRR8784370	24709254	23619306	23615654
SRR8784374	23486415	22257158	22254626
SRR8784377	16824063	16078656	16072585
SRR8784378	25727815	24764541	24756588
SRR8784379	25022859	23936877	23930581
SRR8784380	29514893	28176669	28164404
SRR8784381	19115487	18215542	18200807
SRR8784383	45709793	44314274	44304535
SRR8784384	30055905	28950883	28744149
SRR8784387	19419053	18394565	18390759
SRR8784389	25540827	24732927	24725391
SRR8784390	25027010	23821861	23790211
SRR8784391	22773121	21813571	21796267
SRR8784395	24162192	22992615	22988507
