Sample	input_raw_reads	fastp	bowtie
SAMEA4809485	26830722	24196892	24196854
SAMEA4809486	23291672	21292380	21292304
SAMEA4809487	31919192	28783984	28783953
SAMEA4810909	21136257	19875382	19875375
SAMEA4810910	27477052	25027528	25027512
SAMEA4810934	36408336	32562408	32562400
SAMEA4812182	25686933	22404166	22404092
SAMEA4812183	22924794	20561063	20561046
SAMEA4812184	25036918	21420685	21420666
SAMEA4812185	23941604	21846498	21846475
SAMEA4812186	23966255	21736006	21735988
SAMEA4812187	22064711	20528208	20527765
SAMEA4812188	20795411	18793705	18793693
SAMEA4812189	31135426	28434132	28434030
SAMEA4812190	19623010	17919432	17919391
SAMEA4812191	25469218	23300093	23300072
SAMEA4812192	22630449	20800644	20800623
SAMEA4812193	27161510	25217101	25217081
SAMEA4812194	26839245	24452344	24452329
SAMEA4812195	25756303	23745438	23745421
SAMEA4812196	23624531	21334699	21334529
SAMEA4812197	21332743	19126652	19126590
SAMEA4812198	22887179	20671352	20671331
SAMEA4812199	20691531	19204667	19204659
SAMEA4812200	19652643	17788920	17788875
SAMEA4812201	22459068	20866881	20866684
SAMEA4812202	28556123	26246753	26246703
SAMEA4812203	22650433	21195241	21195156
SAMEA4812204	34803107	30957157	30957139
SAMEA4812205	22948946	20201830	20201793
SAMEA4812206	25289274	22712882	22712862
SAMEA4812207	20785773	18497556	18497525
SAMEA4812208	23273324	20991723	20991613
SAMEA4812209	25118776	21613757	21611972
SAMEA4812210	25691106	23479574	23479520
SAMEA4812211	23255797	21523221	21523207
SAMEA4813753	25233595	22855018	22854989
SAMEA4813754	26445212	24353732	24353726
SAMEA4813755	20721874	18977092	18977087
SAMEA4813756	23906966	21916936	21916865
SAMEA4813757	26478271	24204400	24204384
SAMEA4813758	22325567	20338724	20338717
SAMEA4813759	19783652	17424344	17424332
SAMEA4813760	20210816	18863154	18863147
SAMEA4813761	23863878	20444256	20444189
SAMEA4813762	30771488	28061370	28061348
SAMEA4813763	20904422	18839776	18839769
SAMEA4813764	23572777	20536126	20536121
SAMEA4813765	27609741	24888904	24888853
SAMEA4813766	26006855	23384603	23384540
SAMEA4813767	24958227	22845242	22845217
SAMEA4813768	23394126	21338430	21338426
SAMEA4813769	33013072	28689320	28689308
SAMEA4813770	19380959	17507254	17507205
SAMEA4813771	24729747	22787573	22787330
SAMEA4813772	25092144	22543964	22543961
SAMEA4813773	25272598	22237528	22237519
SAMEA4813774	28166293	24937860	24937809
SAMEA4813775	20064291	18668728	18668720
