Sample	input_raw_reads	fastp	bowtie
SAMN02333917	50512720	39482192	39452403
SAMN02333918	51722577	41216112	41213544
SAMN02333919	59524362	46443276	46441154
SAMN02333920	56342200	43726604	43726393
SAMN02333921	62520745	49439819	49436002
SAMN02333922	51331504	39240396	39238197
SAMN02333923	49466865	37870635	37869519
SAMN02333924	54809842	43228250	43227453
SAMN02333925	58859049	46117627	46117474
SAMN02333926	60590420	47537292	47537197
SAMN02333936	52503024	41092906	41092521
SAMN02333939	63166327	48599807	48598818
SAMN02333940	51369568	40595027	40592856
SAMN02333941	52789556	41327026	41323754
SAMN02333942	64507392	51174227	51169823
SAMN02333943	65200961	50799631	50799502
SAMN02333944	53923179	42848962	42848459
SAMN02333945	56856476	44980731	44978759
SAMN02333946	56316866	44320118	44318600
SAMN02333947	55549905	44259778	44259636
SAMN02333948	52785783	42087973	42087797
SAMN02333956	64701781	51077140	51069336
SAMN02333957	54548708	42336403	42265189
SAMN02333958	48163544	37648801	37648563
SAMN02333960	44560279	34743728	34666064
SAMN02333961	51248398	40684621	40684362
SAMN02333962	58855644	45786424	45785464
SAMN02333963	58735048	46179667	46172292
SAMN02333964	50790333	40056695	40039348
SAMN02333965	61782620	48524211	48523504
SAMN02333966	56031715	43735852	43734162
SAMN02333967	56597309	44983457	44980297
SAMN02333968	54643609	43263493	43252859
SAMN02333969	50916301	40847930	40846917
SAMN02333970	113984511	88127639	88125752
SAMN02333977	57852761	46080573	46079558
SAMN02333978	64277258	49796836	49794534
SAMN02333979	62698989	48569403	48566946
SAMN02333980	58698748	46585996	46552972
SAMN02333981	62190513	49435399	49435225
SAMN02333982	57430868	44786019	44780740
SAMN02333983	56013859	44367081	44366970
SAMN02333984	51947187	41358130	41356770
SAMN02333985	59125654	46621586	46617490
SAMN02333986	52993688	42175303	42163818
SAMN02333993	46797361	37237581	37237214
SAMN02333994	53941624	42942174	42941326
SAMN02333996	47471789	36124049	36121909
SAMN02333997	59317327	45073692	45071793
SAMN02333998	53551935	42615879	42615604
SAMN02333999	47529494	37620406	37594843
SAMN02334000	57618416	45031724	45024534
SAMN02334001	57820668	44707557	44706198
SAMN02334002	53671944	42769881	42768303
SAMN02334003	58461391	46854536	46853372
SAMN02334004	55098044	43482354	43470745
SAMN02334005	47231419	36645846	36643500
SAMN02334006	52643758	41673975	41444634
SAMN02334016	55176575	43237520	43236399
SAMN02334017	63427263	49748246	49746334
SAMN02334018	58860724	46783241	46781979
SAMN02334019	60576200	47768641	47768003
SAMN02334021	58801472	44876333	44869065
SAMN02334022	64518034	50829482	50820260
SAMN02334023	51985567	41016174	41015617
SAMN02334024	53120080	41948579	41946384
SAMN02334025	55927195	44391978	44390953
SAMN02334026	49914245	40220191	40220101
SAMN02334027	49216570	39099296	39092607
SAMN02334028	55002123	43017080	43015370
SAMN02334030	46162836	36458711	36458068
SAMN02334031	10689967	7874156	6982630
SAMN02334036	59591566	46106354	46104872
SAMN02334037	63034518	49570081	49514876
SAMN02334038	61746948	49159113	49147706
SAMN02334039	55793147	44626812	44619376
SAMN02334040	50497617	39105030	39062130
SAMN02334041	47549242	37428597	37428173
SAMN02334042	58780309	46303098	46302392
SAMN02334043	51841983	39879933	39879052
SAMN02334049	63931120	50335847	50334030
SAMN02334051	48179675	37970499	37969118
SAMN02334052	48051362	38052940	38046168
SAMN02334053	57034957	45116743	45115782
SAMN02334054	51153661	39840941	39840230
SAMN02334055	52269624	41261324	41259827
SAMN02334056	47476963	37833966	37820150
SAMN02334057	66048045	52213182	52208810
SAMN02334058	76828819	60219871	60217186
SAMN02334059	61287846	48342201	48341424
SAMN02334060	50867562	40426146	40420540
SAMN02334065	54881899	44100447	44096845
SAMN02334066	47305027	37341209	37339098
SAMN02334067	52778793	42153639	42151867
SAMN02334068	52016108	41186627	41185175
SAMN02334069	54990918	43823130	43822150
SAMN02334070	112922180	58950135	58890163
SAMN02334072	47993126	38246428	38240582
SAMN02334073	52775286	42423362	42421903
SAMN02334074	44595344	35378111	35376548
SAMN02334075	50731330	39735912	39720477
SAMN02334076	52987362	43484565	43483595
SAMN02334077	103261026	58957534	58952307
SAMN02334078	52054503	40986256	40985814
SAMN02334079	63422097	50779329	50779170
SAMN02334080	61615876	48888463	48883537
SAMN02334081	48487518	38908773	38908416
SAMN02334082	53339471	42921265	42920769
SAMN02334083	47660111	38336813	38322347
SAMN02334084	51538787	40657887	40644937
SAMN02334086	53405303	42068504	42067629
SAMN02334087	50696281	40888467	40886697
SAMN02334088	51006270	40424272	40419180
SAMN02334089	54623405	43870069	43869670
SAMN02334090	46566698	37357729	37357216
SAMN02334091	54904744	43646882	43646547
SAMN02334092	42766387	34455715	34447183
SAMN02334093	55439994	43818267	43808693
SAMN02334094	50659241	40977529	40977195
SAMN02334095	52289857	40459251	40458529
SAMN02334096	50994242	40806739	40793465
SAMN02334097	47195946	38300222	38298738
SAMN02334098	47293252	38203438	38201514
SAMN02334099	47581260	38492556	38492069
SAMN02334101	47850529	38471279	38434937
SAMN02334102	55801586	44629046	44625766
SAMN02334103	58626985	47065375	47061002
SAMN02334104	36615370	24945751	24945292
SAMN02334105	60162325	48444056	48405613
SAMN02334106	61907818	49778551	49766360
SAMN02334108	48646650	39230978	39227268
