Sample	input_raw_reads	fastp	bowtie
SAMEA728578	23566422	695662	695617
SAMEA728582	22430936	3195612	3195454
SAMEA728586	23340240	431275	431179
SAMEA728589	25799445	338516	338411
SAMEA728594	18056455	1909154	1909089
SAMEA728599	15326546	5659209	5659176
SAMEA728602	24638063	55429	55422
SAMEA728607	13006003	7222753	7217813
SAMEA728611	24171155	2193339	2193125
SAMEA728614	23956831	2092173	2091622
SAMEA728617	27195743	5647785	5647644
SAMEA728622	23850421	237878	237864
SAMEA728627	21129209	3605735	3605497
SAMEA728630	23554013	2390078	2389893
SAMEA728635	23282027	6394924	6394591
SAMEA728643	21279388	5051217	5051054
SAMEA728655	22123799	3684959	3684861
SAMEA728658	28147828	6692516	6691800
SAMEA728661	24613986	601044	600987
SAMEA728667	29246368	6202670	6202050
SAMEA728670	26780524	276174	276170
SAMEA728672	93025399	37322634	37321985
SAMEA728674	21640412	4102904	4102784
SAMEA728676	24824873	3162839	3162023
SAMEA728685	27756113	1225544	1224801
SAMEA728690	29223066	5754215	5753871
SAMEA728697	22286982	1402120	1401836
SAMEA728700	23894805	1225363	1225300
SAMEA728703	12977322	3023599	3023340
SAMEA728706	13707475	6994753	6994637
SAMEA728712	18740711	1150377	1150369
SAMEA728723	21570384	4385632	4384628
SAMEA728726	22010222	2646550	2646432
SAMEA728728	22496684	842599	842558
SAMEA728731	15321183	6440157	6439592
SAMEA728734	24906258	952394	952244
SAMEA728737	21523366	2728320	2728129
SAMEA728740	25693817	71606	71605
SAMEA728749	34855813	4671648	4671254
SAMEA728752	20554976	3813062	3812880
SAMEA728760	23117436	2083314	2082775
SAMEA728763	27715296	9495506	9495449
SAMEA728766	13464574	4765343	4765222
SAMEA728772	23323025	1777412	1777027
SAMEA728774	22897288	779893	779556
SAMEA728780	21468347	893722	893701
SAMEA728785	23925079	3607715	3607563
SAMEA728794	24951291	377126	377101
SAMEA728799	21015406	471359	471304
SAMEA728802	24668375	2095747	2094190
SAMEA728808	24716172	1933736	1933706
SAMEA728812	22184709	3552907	3552035
SAMEA728814	24567420	229265	229098
SAMEA728826	23951087	1681830	1681789
SAMEA728829	23014498	1486958	1486925
SAMEA728831	17897053	420002	419982
SAMEA728835	23614292	2402146	2401908
SAMEA728839	13127058	4552383	4552237
SAMEA728848	21357557	377310	377300
SAMEA728851	20507184	3507585	3507413
SAMEA728854	25190831	6549986	6549860
SAMEA728856	24186436	571862	571763
SAMEA728859	23292051	1257291	1257236
SAMEA728862	27453436	1779918	1779497
SAMEA728865	22978759	863731	863658
SAMEA728870	18256146	2633440	2611989
SAMEA728881	14286293	5580921	5580756
SAMEA728884	13483802	2948501	2948324
SAMEA728887	22222002	1597489	1593948
SAMEA728890	24714696	2135356	2135121
SAMEA728894	18258111	6424678	6391987
SAMEA728899	23451449	1806189	1806138
SAMEA728902	23531802	2083158	2083137
SAMEA728905	25047042	810522	810069
SAMEA728908	22668608	712899	712782
SAMEA728910	18699845	54854	54854
SAMEA728916	22363891	1161880	1161741
SAMEA728918	22241722	1722874	1722843
SAMEA728923	27573725	3185268	3185173
SAMEA728925	21703164	321364	321279
SAMEA728929	22729547	217109	217083
SAMEA728933	21932008	1577907	1577757
SAMEA728946	24627997	2317242	2315481
SAMEA728950	27798879	4303375	4303209
