Sample	input_raw_reads	fastp	bowtie
SRR10680485	22028052	21353587	21302924
SRR10680486	26910790	26493508	26492675
SRR10680487	27095477	26158431	26142243
SRR10680488	25099920	24295549	24262493
SRR10680489	24537046	23873939	23867302
SRR10680490	23976946	23491122	23453920
SRR10680491	25296870	24501770	24468914
SRR10680492	22163987	21473996	21472007
SRR10680493	22214905	21741732	21707636
SRR10680494	24012634	23393783	23342194
SRR10680495	21322523	20752999	20731280
SRR10680496	24643959	24149281	24143537
SRR10680497	28491541	27886690	27679805
SRR10680498	29232053	28787198	28617790
SRR10680499	22187423	21662815	18947355
SRR10680500	22300922	21790683	21783058
SRR10680501	24106000	23397754	23396012
SRR10680502	22499694	22043855	22027266
SRR10680503	26830077	26226143	26224481
SRR10680504	24928373	24377876	24376382
SRR10680505	21558303	20672179	20667636
SRR10680506	24197469	23594124	23590404
SRR10680507	23928115	23488539	23479511
SRR10680508	21581296	21132908	21114685
SRR10680509	20344671	19669142	19643213
SRR10680510	27687455	27040791	26981752
SRR10680511	28366965	27701870	27700393
SRR10680512	26262539	25652166	25600261
SRR10680513	26234940	25655339	25631410
SRR10680514	26003500	25697906	25684315
SRR10680515	26470780	25875755	25874420
SRR10680516	25427842	24909296	24900729
SRR10680517	23196534	22730572	22725183
SRR10680518	28612229	27936348	26242615
SRR10680519	26502432	25905489	25868164
SRR10680520	26680344	26077215	26071192
SRR10680521	23373726	22883305	22880062
SRR10680522	31371741	30695423	30683754
SRR10680523	27268252	26663223	26657014
SRR10680524	27767458	27108697	27104695
SRR10680525	26390444	25811629	25801167
SRR10680526	23728492	23332778	23329856
SRR10680527	23337422	22886394	22880087
SRR10680528	26045873	25038145	24964505
SRR10680529	27865742	27321469	27279307
SRR10680530	23427229	22898205	22480629
SRR10680531	22775601	22334747	22278240
SRR10680532	25032135	24509853	24259138
SRR10680533	22238162	21777940	21765641
SRR10680534	28074783	27490721	27348514
SRR10680535	27783155	27235236	27110323
SRR10680536	26576504	26049096	25884281
SRR10680537	25628056	25078743	24987730
SRR10680538	29513943	29081834	28069943
SRR10680539	24464754	23996464	23883004
SRR10680540	24888264	24539773	24498437
SRR10680541	27275321	26884190	26864557
SRR10680542	27562828	27173762	27156864
SRR10680543	29261075	28868456	28829086
SRR10680544	25127181	24770481	24666721
SRR10680545	28965315	28509605	28427029
SRR10680546	23602518	22924857	22910338
SRR10680547	30302269	29887003	29886399
SRR10680548	26552130	26195727	26148150
SRR10680549	27352639	26920381	26909678
SRR10680550	24698871	24145208	24125287
SRR10680551	25874653	25494116	25487337
SRR10680552	25458331	25006300	24991790
SRR10680553	25302743	24962647	24932936
SRR10680554	25413438	25156328	25089188
SRR10680555	31903000	31430070	31425448
SRR10680556	28280407	28003026	27985484
SRR10680557	24639224	24200985	24154425
SRR10680558	30162875	29603453	29598944
SRR10680559	27959771	27551082	27546343
SRR10680560	27692465	27318683	27314952
SRR10680561	23091877	22063274	22059995
SRR10680562	27136731	26749699	26740616
SRR10680563	23323059	22396720	22396022
SRR10680564	18526508	17715833	17585217
SRR10680565	24593294	23571138	23570068
SRR10680566	20667563	19743103	19575086
SRR10680567	24968848	23974607	23973760
SRR10680568	28168409	27678727	27576672
SRR10680569	31772340	31038702	31029171
SRR10680570	25522144	24337112	24334932
SRR10680571	24841439	24211929	24210839
SRR10680572	25179154	24497237	24496985
SRR10680573	23293680	22862625	22841960
SRR10680574	21235863	20671692	20660288
SRR10680575	33813356	32636494	32632429
SRR10680576	27255864	26648672	26564098
SRR10680577	25960163	25159762	25147025
SRR10680578	24495042	23872592	23868574
SRR10680579	23239273	22658186	22653190
SRR10680580	25576564	25035779	25030554
SRR10680581	26616834	26028593	25954661
SRR10680582	27466055	26812312	26809419
SRR10680583	24515138	23858887	23852686
SRR10680584	25450944	24640693	24636680
SRR10680585	24741734	24210969	24206484
SRR10680586	26692239	26094720	26093637
SRR10680587	27282953	26839025	26814103
SRR10680588	26876080	26161749	26158061
SRR10680589	24864231	24154011	24142142
SRR10680590	25934345	25234340	25202026
SRR10680591	24178979	23447212	23438000
SRR10680592	27058306	25714513	25711035
SRR10680593	24682137	24074376	24072244
SRR10680594	27961813	27310034	27305543
SRR10680595	23832022	23126698	23124894
SRR10680596	29254691	28955738	28943593
SRR10680597	25899913	25263578	25261285
SRR10680598	30890737	30360685	30331705
SRR10680599	21416494	20736002	20595721
SRR10680600	24252283	23455094	23451373
SRR10680601	22461587	21927465	21918789
SRR10680602	26690143	26139344	26137747
SRR10680603	23144322	22619917	22616838
SRR10680604	24738851	24270666	24241679
SRR10680605	26339833	26030593	26015801
SRR10680606	24988826	24421351	24372725
SRR10680607	26952393	26456595	26439200
SRR10680608	24773882	24300625	24295885
SRR10680609	22923849	22517125	22513365
SRR10680610	27228222	26585621	26541203
SRR10680611	22322578	21911473	21910902
SRR10680612	27419031	26838876	26838618
SRR10680613	29394138	28819153	28777726
SRR10680614	25499759	24920798	24914503
SRR10680615	24598502	24124451	24119510
SRR10680616	26314844	26061296	26043116
SRR10680617	24082483	23624707	23183459
SRR10680618	30676643	29903858	29791645
SRR10680619	28095819	27495337	27415066
SRR10680620	23110063	22615731	22612644
SRR10680621	18667502	17806419	17803373
SRR10680622	24377855	23832851	23820677
SRR10680623	22217599	21783853	21779454
SRR10680624	20269175	19808040	19790569
SRR10680625	24765285	23951458	23948783
SRR10680626	23555059	23104753	23066541
SRR10680627	22204174	21405134	21404245
SRR10680628	27928769	26985246	26980696
SRR10680629	24840297	24386388	24380215
SRR10680630	29529828	29236999	29219722
SRR10680631	26808017	26147553	26147189
SRR10680632	28187631	27646295	27638042
SRR10680633	22929291	22090394	22088513
SRR10680634	23039778	22558738	22557806
SRR10680635	25109779	24539353	24304501
SRR10680636	25197731	24733198	24732147
SRR10680637	23957315	23482704	23481445
SRR10680638	25116542	24581640	24578399
SRR10680639	24680043	24167555	24166435
SRR10680640	29199752	27830610	27817012
SRR10680641	26182112	25691027	25662161
SRR10680642	24203593	23889989	23865083
SRR10680643	33510990	33014034	32999845
SRR10680644	22931460	22584709	22551284
SRR10680645	22862097	22414999	22409087
SRR10680646	31265224	30795800	30792951
SRR10680647	27694490	27209423	27198475
SRR10680648	28758700	28179021	28168396
SRR10680649	17890051	17415880	17410136
SRR10680650	26298849	25808915	25798149
SRR10680651	30338143	29768454	29750680
SRR10680652	26334696	25959013	25937009
SRR10680653	33438830	32814283	32811131
SRR10680654	21685889	21415387	21411920
SRR10680655	26921751	26422114	26409886
SRR10680656	25726800	25343141	25340638
SRR10680657	29185841	28736509	28281556
SRR10680658	29607457	29139845	29137263
SRR10680659	32348145	31842008	31839246
SRR10680660	20921877	20593890	20532558
SRR10680661	29203281	28700455	28697716
SRR10680662	25672687	25106964	25075327
SRR10680663	24639150	24294043	24289760
SRR10680664	25598242	25115144	25113546
SRR10680665	23147937	22697574	22684984
SRR10680666	25154670	24763929	24713064
SRR10680667	28467773	27880965	27880095
SRR10680668	21454036	20716319	20715152
SRR10680669	29163245	28569629	28530734
SRR10680670	25912979	25527907	25525197
SRR10680671	26018788	25446331	25438881
SRR10680672	23874391	23428170	23422552
SRR10680673	21938037	21250853	21248761
SRR10680674	29261064	28684088	28658323
SRR10680675	22335741	21858097	21849111
SRR10680676	27595870	27034216	27019125
SRR10680677	24525094	23942549	23933185
SRR10680678	25904904	25393463	25313950
SRR10680679	29600115	29031336	29021637
SRR10680680	25908420	25407298	25403287
SRR10680681	29106057	28414423	28406301
SRR10680682	22772493	22442085	22439725
SRR10680683	26960586	26431424	26429612
SRR10680684	23315144	22826718	22819968
SRR10680685	23719569	23159117	23157112
SRR10680686	23525717	23160765	23128289
SRR10680687	21917458	21491983	21489501
SRR10680688	27363760	26740913	26718995
SRR10680689	22008831	21593320	21577510
SRR10680690	26268005	25399533	25397994
SRR10680691	25012248	24439881	24189512
SRR10680692	29797579	29226167	28868222
SRR10680693	27213885	26822070	26814315
SRR10680694	29581302	28956393	28952189
SRR10680695	27628492	27065389	27056930
SRR10680696	27928009	27351922	27311011
SRR10680697	23404456	22925433	22344480
SRR10680698	26370014	25781131	25726133
SRR10680699	14661040	14420920	14369919
SRR10680700	27310873	26673959	26644979
SRR10680701	30479370	29952159	29913393
SRR10680702	26741681	26322675	26265083
SRR10680703	27590623	27075254	27009326
SRR10680704	27464457	26944098	26886369
SRR10680705	24656708	24200985	24183399
SRR10680706	24417127	23861535	23820262
SRR10680707	21902241	21523289	21479784
SRR10680708	21926584	21468739	21447606
SRR10680709	26813362	26335113	26322768
SRR10680710	21808955	21323730	21278771
SRR10680711	23559916	23034751	22991955
SRR10680712	22364381	21951189	21936096
SRR10680713	8677632	8494158	8401916
SRR10680714	23717415	23305876	23278660
SRR10680715	31565219	30812454	30790992
SRR10680716	22277283	21866377	21792789
SRR10680717	30591470	29973752	29959085
SRR10680718	29614022	28980678	28889091
SRR10680719	29247021	28610066	28531341
SRR10680720	28163647	27494485	27421879
SRR10680721	21961809	21520304	21461842
SRR10680722	22951696	22517991	22515241
SRR10680723	31721673	31099928	30734933
SRR10680724	27499992	26965218	26956187
SRR10680725	21279006	20869288	20857286
SRR10680726	27160135	26801515	26744798
SRR10680727	24184092	23705893	23704811
SRR10680728	24334335	23784696	23782599
SRR10680729	26591485	25967706	25956148
SRR10680730	24576585	23962142	23952964
SRR10680731	22793691	22334069	22326024
SRR10680732	25716117	25190809	25189798
SRR10680733	24544386	24089766	24083015
SRR10680734	26899940	26318337	26315151
SRR10680735	22528679	22073028	22059399
SRR10680736	20985297	20576043	20571737
SRR10680737	25455213	24971445	24939201
SRR10680738	26237693	25859358	25834180
SRR10680739	24339542	23879577	23877506
SRR10680740	29299882	28572118	28513593
SRR10680741	23717626	23262106	23258236
SRR10680742	24214457	23393417	23391018
SRR10680743	27403246	26870464	26863582
SRR10680744	21933931	21512783	21505437
SRR10680745	27223276	26730016	26727766
SRR10680746	27635062	27057263	27052728
SRR10680747	25299600	24780374	24777920
SRR10680748	21948801	21625580	21623041
SRR10680749	26196586	25756229	25697299
SRR10680750	20601292	20220903	19952549
SRR10680751	21747255	21322865	21318612
SRR10680752	25358205	24884754	24876429
SRR10680753	26344695	25665785	25577928
SRR10680754	25957325	25484966	25478798
SRR10680755	24856264	24294475	24249639
SRR10680756	23684983	23226464	23220483
SRR10680757	22430775	21908234	21816133
SRR10680758	25560179	25052628	25023300
SRR10680759	26114854	25650786	25642678
SRR10680760	24651059	24231235	24228361
SRR10680761	20820666	20445792	20435971
SRR10680762	25863539	25369222	25360871
SRR10680763	26495236	25890939	25888860
SRR10680764	26719873	26183031	26158327
SRR10680765	25219234	24689326	24672410
SRR10680766	23904374	23402850	23375173
SRR10680767	25415949	24910831	24906671
SRR10680768	26168364	25699025	25684991
SRR10680769	27485981	26414597	26394448
SRR10680770	4324019	4240821	4239586
SRR10680771	24292007	23790229	23780095
SRR10680772	24284731	23851528	23839889
SRR10680773	27914391	27406510	27361780
SRR10680774	24032339	23613025	23552441
SRR10680775	31313178	30510555	30485532
SRR10680776	23068421	22637897	22628107
SRR10680777	28604399	28065161	28030303
SRR10680778	26136760	25550454	25538220
SRR10680779	24867456	24095203	24091959
SRR10680780	28513797	27910841	27016887
SRR10680781	20907451	19923799	19912329
SRR10680782	19908935	19060702	19058069
SRR10680783	26899927	25716451	25704397
SRR10680784	23327938	22274136	22270756
SRR10680785	23688996	22569858	22556981
SRR10680786	22029194	21575924	21573767
SRR10680787	21224392	20303760	20302068
SRR10680788	26532744	25939255	25878390
SRR10680789	27516762	27178657	27162649
SRR10680790	20074854	19682266	19681673
SRR10680791	25553561	24990766	24990063
SRR10680792	26547472	25979607	25977328
SRR10680793	19365363	18554296	18549475
SRR10680794	24721783	24216924	24193077
SRR10680795	21886461	21421188	21397755
SRR10680796	27494698	26944856	26943217
SRR10680797	27168450	26567908	26565454
SRR10680798	23923081	23399079	23395903
SRR10680799	26175678	25643482	25623768
SRR10680800	26960024	26381404	26362928
SRR10680801	30824786	30495170	30426334
SRR10680802	24196142	23719167	23716895
SRR10680803	22433453	20968930	20965231
SRR10680804	26601284	25464851	25459326
SRR10680805	25510258	25050255	25046588
SRR10680806	23865174	23362906	23328371
SRR10680807	26893653	26254770	26216596
SRR10680808	27798236	27220990	27217329
SRR10680809	27167567	26561748	26547790
SRR10680810	22687378	22211378	22169269
SRR10680811	24041666	23507521	23503827
SRR10680812	25249231	24462924	24461776
SRR10680813	24450064	23808987	23721164
SRR10680814	24602745	23883518	23857410
SRR10680815	23381216	23069324	23059714
SRR10680816	24822873	24151953	24135389
SRR10680817	30374243	29676310	29626013
SRR10680818	25273646	24748508	24747037
SRR10680819	26187042	25301687	25296693
SRR10680820	20781510	20291033	20289426
SRR10680821	29024747	27943723	27937503
SRR10680822	18354284	17858191	17851575
SRR10680823	22530802	21746570	21711768
SRR10680824	18774948	18366161	18357935
SRR10680825	29743487	29061316	29056697
SRR10680826	21284453	20867564	20866944
SRR10680827	20504819	20058341	20039120
SRR10680828	25255938	24564923	24271346
SRR10680829	20856787	20121028	20113838
SRR10680830	27117523	26177979	26175962
SRR10680831	22271626	21475913	21472795
SRR10680832	24856525	24269714	24266917
SRR10680833	26737889	26169756	26166552
SRR10680834	23395428	22593294	22579200
SRR10680835	23436481	22822682	22819085
SRR10680836	20249657	19576780	19565979
SRR10680837	23917792	23142112	23138182
SRR10680838	25149330	24900055	24880141
SRR10680839	27285429	26632331	26540401
SRR10680840	21642238	21173860	21162009
SRR10680841	20811130	20393261	20391103
SRR10680842	25441664	25088905	24936541
SRR10680843	23774630	23417835	23404807
SRR10680844	25246866	24796397	23804802
SRR10680845	23478398	23112544	23083936
SRR10680846	24191597	23809342	23737118
SRR10680847	25158624	24804331	24787277
SRR10680848	23392476	23011081	22937681
SRR10680849	27349844	26826578	26816846
SRR10680850	22787856	22474489	22464952
SRR10680851	27937907	27534742	27523787
SRR10680852	26060668	25668266	25652646
SRR10680853	24891362	24538629	24505690
SRR10680854	27303431	26853736	26845066
SRR10680855	25509643	25129173	25081439
SRR10680856	24745479	24394214	24335817
SRR10680857	22067076	21763106	21734676
SRR10680858	28220892	27724240	27589829
SRR10680859	27289385	26887510	26865717
