Sample	input_raw_reads	fastp	bowtie
SRR9224171	12231836	9502293	9502288
SRR9224172	5211984	4741824	4741817
SRR9224173	10020460	8605987	8605983
SRR9224174	5851074	5089606	5089606
SRR9224175	4901985	4245530	4245528
SRR9224176	9718408	7752009	7752003
SRR9224177	5856927	5021884	5021881
SRR9224178	3578540	3070243	3070238
SRR9224179	5784953	4937867	4937867
SRR9224180	3201658	2661623	2661622
SRR9224181	302974	280145	280145
SRR9224182	5195974	4473548	4473545
SRR9224183	9477557	8000989	8000987
SRR9224184	6647595	5974330	5974330
SRR9224185	10442514	10037541	10037540
SRR9224186	5084630	4870143	4870142
SRR9224187	8880300	8225878	8225878
SRR9224188	21891585	19660211	19660205
SRR9224189	22449285	20133641	20133637
SRR9224190	13465402	12935828	12935828
SRR9224191	5133961	4936704	4936702
SRR9224192	9230119	8843230	8843217
SRR9224193	8597282	8261296	8261292
SRR9224194	10222086	9836736	9836736
SRR9224195	10065909	9680807	9680807
SRR9224196	9938164	9543259	9543238
SRR9224197	6441836	6198597	6198595
SRR9224198	5098147	4673055	4673055
SRR9224199	6999474	6419932	6419928
SRR9224200	10640589	10256561	10256552
SRR9224201	11862170	11410900	11410900
SRR9224202	8948310	7994576	7994576
SRR9224203	9793481	9103496	9103492
SRR9224204	5273304	4956659	4956659
SRR9224205	9325032	8726110	8726110
SRR9224206	8414675	8108635	8108633
SRR9224207	6513526	5922920	5922917
SRR9224208	10475440	9199692	9199692
SRR9224209	8518387	7709284	7709281
SRR9224210	11347203	10118010	10118009
SRR9224211	4597716	4076692	4076690
SRR9224212	6914258	6256072	6256062
SRR9224213	5040623	4569107	4569105
SRR9224214	7683939	6798768	6798767
SRR9224215	8951364	8544135	8544134
SRR9224216	7579793	6915817	6915816
SRR9224217	10963947	9866116	9866115
SRR9224218	8119997	7502548	7502542
SRR9224219	8528162	8013849	8013846
SRR9224220	8139768	7617572	7617569
SRR9224221	24002931	21795241	21795236
SRR9224222	20896021	18914863	18914858
SRR9224223	9343344	8043553	8043553
SRR9224224	10349775	8487457	8487455
SRR9224225	23833291	21196101	21196093
SRR9224226	19380613	17551719	17551715
SRR9224227	25327583	22869008	22868998
SRR9224228	22024908	19919884	19919876
SRR9224229	3456798	3124449	3124449
SRR9224230	4728464	3895204	3895204
SRR9224231	5363889	4904163	4904160
SRR9224232	6804078	6500889	6500883
SRR9224233	11383	8536	8535
SRR9224234	6721564	6199590	6199589
SRR9224235	10723184	9891070	9891065
SRR9224236	11221562	10206504	10206504
SRR9224237	7506252	6883233	6883232
SRR9224238	7957075	6981003	6981000
SRR9224239	381953	336543	336542
SRR9224240	5661954	5189125	5189124
SRR9224241	6877683	6276396	6276390
SRR9224242	7154619	6583689	6583685
SRR9224243	8660882	7448020	7448019
SRR9224244	24917	14306	14306
SRR9224245	4627750	3632200	3632200
SRR9224246	10582407	9477731	9477730
SRR9224247	6074633	5381998	5381996
SRR9224248	7718276	6656737	6656731
SRR9224249	8234732	7648669	7648663
SRR9224250	8390678	7833567	7833564
SRR9224251	7110088	6602141	6602132
SRR9224252	384366	322186	322186
SRR9224253	8208258	7500173	7500167
SRR9224254	3170664	2890521	2890521
SRR9224255	6195928	5721634	5721633
SRR9224256	12675489	11557837	11557831
SRR9224257	6965418	6429490	6429482
